sadness,[名]悲しみ
maintenance,"[名]持続
making,[名]作ること
manual,[形]手の，手動の.
manufacture,[動]製造する
marble,[名]大理石
marine,[形]海の
marked,[形]際立った
marvelous,[形]すばらしい，見事な
mast,[名]帆柱，マスト 
mature,[形]成熟した、分別のある
maximum,[名]最大値
mayor,[名]市長
meadow,[名]草地
meanwhile,[副]その間に
measurement,[名]測量，寸法
mechanical,[形]機械の
mechanism,[名]機械装置、仕組み
medium,[名]手段、媒体
mend,[動]直す
mercy,[名]慈悲、寛大さ
mere,[形]ほんの，単なる
merrily,[副]陽気に
mess,[名]乱れた状態
messenger,[名]使者
mighty,[形]力強い
mill,[名]製作所、製粉場
millionaire,[名]大富豪
minimum,[名]最小値
minority,[名]少数派、少数
miracle,[名]奇跡
miserable,[形]みじめな
misery,[名]悲惨さ
mist,[名]霧
mistress,[名]女主人
misunderstand,[動]誤解する
mixed,[形]混ざった
mode,[名]方法，様式
modest,[形]謙虚な
monitor,[動]絶えず監視する
monument,[名]記念碑
muddy,[形]泥でよごす
multiply,[動]増やす、掛ける
mutual,[形]お互いの
namely,[副]すなわち
nap,[名]うたた寝
nasty,[形]汚い、不快な
nationality,[名]国籍
nearby,[形]すぐ近くの
necessarily,[副]必然的に、必ず
negotiation,[名]交渉
nevertheless,[副]それにもかかわらず
newly,[副]最近
normally,[副]正常に、いつもは
northeast,[名]北東部
northwest,[名]北西部
notion,[名]概念、意見
nowadays,[副]このごろは
nuclear,[名]核兵器
nursing,[名]看護
oak,[名]オーク
oasis,[名]オアシス
obedient,[形]従順な
obey,[動]従う
obtain,[動]取得する、達成する
obviously,[副]明らかに
occasional,[形]時折の、時々の
occasionally,[副]時々
occupation,[名]職業
oily,[形]油っこい
openly,[形]公然と
opposition,[名]反対、対立
organize,[動]組織する
origin,[名]起源
originally,[副]もとは、元来
outcome,[名]成果、結果
outdoors,[副]野外で
outer,[形]外側の、外部の
outline,[名]概要，あらまし
output,[名]生産高、出力
outstanding,[形]目立つ、顕著な
outward,[副]外側に
overall,[形]全体の
overcome,[動]克服する
overlook,[動]見渡せる
overseas,[副]海外へ
owl,[名]フクロウ
ox,[名]牛、雄牛
oxygen,[名]酸素
packet,[名]小さな束、小包
panel,[名]板、枠
panic,[名]パニック
paragraph,[名]段落
parallel,[形]平行の
parliament,[名]議会、国会
parrot,[名]オウム
partial,[形]部分的な
passing,[名]通過
passive,[形]受身の，消極的な
pavement,[名]舗装道路
peasant,[名]農民、小作農
peculiar,[形]特有の、奇妙な
penalty,[名]罰
perceive,[動]知覚する、気がつく
personally,[副]自分としては
persuade,[動]説得する
philosophy,[名]哲学
physician,[名]医師、内科医
pine,[名]松
pioneer,[名]開拓者、先駆者
pit,[名]ピット、くぼみ
pitch,[動]投げる
planner,[名]設計者、計画者
plot,[名]たくらみ、陰謀
poisonous,[形]有毒な
pollution,[名]公害、汚染
poorly,[副]貧しく、乏しく
popularity,[名]人気
porter,[名]荷物運搬人、ポーター
portion,[名]割り当て、取り分
portrait,[名]肖像画
possession,[名]所有物
postal,[形]郵便の
poster,[名]ポスター
postpone,[動]延期する
potential,[名]可能性
poverty,[名]貧困
preach,[動]説く、説教する
precise,[形]正確な
preparation,[名]準備
preserve,[動]保存する
pressing,[形]緊急の
previously,[副]以前は
primary,[形]初頭の、原始的な
primitive,[形]始の，初期の
priority,[名]優先
privacy,[名]プライバシー
privilege,[名]特権、特典
procedure,[名]処置、手順
proceed,[動]進む
profitable,[形]有益な、収益の高い
prolong,[動]延長する
promote,[動]促進する、寄与する
promotion,[名]昇進
pronounce,[動]発音する
pronunciation,[名]発音
proportion,[名]割合、釣合い
prose,[名]散文
prospect,[名]見通し、見込み
prosperity,[名]繁栄
proudly,[副]誇らしげに
province,[名]行政区画、範囲
publication,[名]出版、発行
publicly,[副]公然と
puppy,[名]子犬
purchase,[動]購入する
purely,[副]まったく，単に
pursue,[動]追う、追求する
pursuit,[名]追撃、追求
quantity,[名]量
quit,[動]やめる
radical,[形]急進的な、過激な
rage,[名]激怒
rating,[名]評価
rattle,[動]がらがらと鳴る
razor,[名]かみそり
readily,[副]すぐに、快く
realistic,[形]現実的な
rear,[名]最後部、後方
rebel,[動]反対する
recall,[動]思い出す
receiver,[名]受信機
reception,[名]受付
recognition,[名]認識
recommendation,[名]推薦、おすすめ
recording,[名]録音
recovery,[名]回復
reduction,[名]縮小、割引
reference,[名]参考、言及
regarding,[前]に関して
region,[名]部分、地方
regularly,[副]定期的に
rejoice,[動]喜ぶ
related,[形]関連がある
relatively,[副]相対的に
relaxed,[形]くつろいだ
remark,[動]言う
remarkable,[形]注目すべき，驚くべき
remote,[形]遠く離れた
repay,[動]返金する
repeated,[形]反復された
replacement,[名]代わりのもの
representative,[形]代表する，代理の
republic,[名]共和国
reputation,[名]評判、名声
requirement,[名]必要条件
rescue,[動]救出する
resemble,[動]似ている
residence,[名]住まい
resident,[形]住み込みの
resist,[動]抵抗する
resistance,[名]抵抗力
resolution,[名]決意、解決
resolve,[動]決心する、決定する
resort,[名]行楽地
resource,[名]資源、資金
restore,[動]修復する、回復する
restrain,[動]抑制する
restraint,[名]抑制、自制
retain,[動]保持する
retired,[形]退職した
reveal,[動]明らかにする
revenge,[名]復讐、復讐心
reverse,[名]逆
rewrite,[動]書き直す
rifle,[名]ライフル銃
ripe,[形]熟した
ruling,[名]決定、裁定
rural,[形]田舎の
sacrifice,[名]いけにえ、犠牲
sadness,[名]悲しみ
saint,[名]聖人、聖…
salmon,[名]サケ、鮭
salty,[形]塩気のある
satisfaction,[名]満足、喜び
satisfied,[形]満足した
scandal,[名]スキャンダル
scarcely,[副]ほとんど～ない
scare,[動]怖がらせる
scared,[形]おびえた
scatter,[動]まき散らす
scenery,[名]景色
scent,[名]香り
scheme,[名]基本構想、計画
scholar,[名]学者
scholarship,[名]学問、奨学金
scold,[動]叱る
scout,[名]偵察、スカウト
scratch,[動]ひっかく
seal,[名]封印
searching,[形]綿密な，徹底的な
secondary,[形]第二次的なもの
secretly,[副]ひそかに
sector,[名]部門、分野
secure,[動]安全を確保する
seize,[動]つかむ
sensation,[名]大評判
session,[名]開会、開廷
settlement,[名]解決、和解
severe,[形]激しい、深刻な
sew,[動]縫う
shallow,[形]浅い
shelter,[名]避難所、隠れ場
shepherd,[名]羊飼い
shield,[動]保護する，かばう 
shift,[名]変化、変更
shocked,[形]衝撃を受けた
shortage,[名]不足
shortly,[副]間もなく
sidewalk,[名]歩道
significant,[形]重要な、意義深い
sin,[名]罪
site,[名]現場、場所
skier,[名]スキーヤー
skillful,[形]熟練した
skip,[動]跳ねる
sleeve,[名]袖
slim,[形]ほっそりした
slipper,[名]スリッパ
smash,[動]粉砕する
snack,[名]軽食
snap,[動]パチンと鳴らす
software,[名]ソフトウェア
solution,[名]答え、解決策
sooner,[副]より早く
sorrow,[名]悲しみ、悲痛
source,[名]源、原因
southeast,[名]南東、南東部
southwest,[名]南西、南西部
spade,[名]すき
spark,[名]火花
species,[名]（生物の）種
spectacle,[名]光景，美観，壮観
spill,[動]こぼす、もらす
spiritual,[形]精神の
spite,[名]悪意
splendid,[形]素晴らしい
spokesman,[名]代弁者、スポークスマン
sponge,[名]スポンジ
sponsor,[名]スポンサー
spoonful,[名]さじ一杯
spray,[動]スプレーを吹きかける
squeeze,[動] 圧搾する
stable,[形]安定した
stake,[名]利害関係
stall,[名]小屋、露店
stare,[動]じっと見つめる
starve,[動]飢える
status,[名]地位、身分
steamer,[名]蒸気船
steep,[形]険しい
stem,[名]茎（くき）
stew,[名]シチュー
sticky,[形]ねばねばした
sting,[動]刺す
stir,[動]かき回す
stormy,[形]暴風の、激しい
strain,[名]緊張
strangely,[副]妙に、変に
strictly,[副]厳格に
striking,[形]目立つ
strip,[名]細長いきれ
strongly,[副]強く
stylist,[名]スタイリスト
submit,[動]提出する
substance,[名]物質
suburb,[名]郊外、近郊
summit,[名]頂、首脳会談
sunflower,[名]ヒマワリ
surrender,[名]降参、降伏
surrounding,[形]周囲の
survey,[動]調査する
sword,[名]剣、刀
sympathetic,[形]同情的な
tablespoon,[名]大さじ一杯
tame,[形]飼い慣らされた
task,[名]仕事
technological,[形]科学技術の
telling,[形]多くを語る、意味あり気な
temptation,[名]誘惑
tendency,[名]傾向
tender,[形]やわらかい
tense,[名]時制
tension,[名]緊張
territory,[名]領土、地域
terror,[名]恐怖、恐ろしさ
thickly,[副]厚く
thirst,[名]喉の渇き
thorough,[形]徹底的な、完全な
thoroughly,[副]完全に
thousandth,[形]千番目の
thrill,[動]わくわくさせる、感動させる
tide,[名]潮、潮流
tidy,[形]きちんとした
timely,[形]時宜を得た
token,[名]しるし
tomb,[名]墓
trace,[名]跡、痕跡
tractor,[名]牽引車、トラクター
trail,[名]跡、痕跡
trainer,[名]訓練する人
translation,[名]翻訳
transportation,[名]輸送、交通　
treatment,[名]待遇、扱い
treaty,[名]条約
tribe,[名]部族
triple,[動]3倍にする
triumph,[名]勝利、大成功
tropical,[形]熱帯の
turning,[名]回転、曲がり角
tutor,[名]家庭教師
uncertain,[形]不確実な
unclear,[形]はっきりしない
uncomfortable,[形]心地の悪い
underline,[動]強調する
undoubtedly,[副]疑いようもなく
unfortunately,[副]残念ながら
unite,[動]一体となる
united,[形]結合した、団結した
universal,[形]一般的な、普遍的な
unkind,[形]不親切な
unlikely,[形]ありそうもない
unnecessary,[形]無益な、不必要な
upright,[形]まっすぐ立った
upward,[形]上向きの
urge,[動]促す、勧める
urgent,[形]緊急の
vain,[形]うぬぼれの強い
van,[名]ワゴン車、バン
vanilla,[名]バニラ
vanish,[動]消える
variation,[名]変化
vary,[動]変化する
venture,[名]冒険的事業，投機的企業，ベンチャー 
verse,[名]韻文
version,[名]版、バージョン
vessel,[名]船
via,[前]～を通って
vice,[名]悪徳
villager,[名]村人
virtue,[名]美徳、徳
visible,[形]見える
volunteer,[名]ボランティア
voyage,[名]航海、船旅
wander,[動]歩き回る、ぶらつく
warmly,[副]熱心に，熱烈に
warmth,[名]暖かさ
weaken,[動]弱る、衰弱する
weave,[動]織る、編む
web,[名]くもの巣、編物
weed,[名]雑草
welfare,[名]福祉、生活保護
whip,[動]むち打つ
whisper,[動]ひそひそと話す
wicked,[形]邪悪な，不道徳な，不正な
width,[名]幅
wilderness,[名]原野、荒野
wildlife,[名]野生生物
willingly,[副]喜んで
windy,[形]風の強い
wink,[動]ウインクをする
wisdom,[名]知恵、賢明さ
worn,[形]擦り切れた、使い古しの
worrying,[形]心配な、やっかいな
worthy,[形]ふさわしくて
yawn,[動]あくびをする
yearly,[形]年一回の、毎年の
yield,[動]産する
youngster,[名]子供、若者
youthful,[形]若々しい
abortion,[名]妊娠中絶
abrupt,[形]突然の
accessible,[形]接近できる
accidentally,[副]偶然に
accommodate,[動]収容する
accountant,[名]会計士
accounting,[名]会計、決算
accumulate,[動]蓄積する
accuracy,[名]正確さ
accusation,[名]告発
ace,[名]名手
acknowledge,[動]認める
activist,[名]活動家
adequate,[形]適切な
adjective,[名]形容詞
administrative,[形]管理の
administrator,[名]管理者
admirable,[形]賞賛に値する
admirer,[名]ファン、愛慕者
adverb,[名]副詞
advertiser,[名]広告主
aftercare,[名]アフターケア
aha,[  ]ははあ
airliner,[名]定期旅客機
alas,[  ]ああ
alcoholic,[形]アルコールの
alley,[名]路地、横町
ally,[動]同盟する
almighty,[形]全能の
alongside,[副]そばに
alphabetical,[形]アルファベットの
aluminum,[名]アルミニウム
ample,[形]十分な
analyst,[名]分析者
annoying,[形]うるさい
anticipation,[名]予想、期待
ape,[名]類人猿
applaud,[動]拍手を送る
applause,[名]拍手かっさい、賞賛
applied,[形]応用された
architectural,[形]建築上の
armchair,[名]肘掛け椅子
ascent,[名]上昇、昇進
assess,[動]評価する
assessment,[名]評価、査定
asset,[名]資産
astonishment,[名]驚き
astronaut,[名]宇宙飛行士
astronomer,[名]天文学者
astronomy,[名]天文学
athletics,[名]陸上競技
attendance,[名]出席
attentive,[形]注意深い
attribute,[動]〈結果を〉〔…に〕帰する
authorize,[動]権限を与える
babe,[名]赤ん坊
backbone,[名]背骨、背
bacteria,[名]細菌
badminton,[名]バドミントン
bald,[形]禿げた
banish,[動]追放する
bankrupt,[形]破産した
banner,[名]垂れ幕，横断幕
banquet,[名]宴会、祝宴
barbecue,[名]バーベキュー
bargaining,[名]交渉、取引
bazaar,[名]バザー
beak,[名]くちばし
beater,[名]打ちたたく器具
beforehand,[副]事前に
beneficial,[形]有益な、ためになる
betrayal,[名]裏切り
bilingual,[形]二か国語併用の
biography,[名]伝記
biting,"[形]鋭い
bitterness,[名]恨み、敵意
blast,[動]爆破する
bleach,[動]漂白する
blessed,[形]祝福を受けた
blot,[名]汚点
blueprint,[名]設計図
bodily,[形]肉体の
boiling,[形]沸き立つ
boldness,[名]ずうずうしさ
booking,[名]予約
boom,[名]にわか景気，ブーム 
boost,[動]押し上げる 
booth,[名]売店
bounce,[動]ボールがはずむ
boycott,[名]ボイコット
bravery,[名]勇敢さ
breaking,[形]〔ニュースなどが〕最新の
bribe,[名]賄賂
brighten,[動]明るくする
brightness,[名]輝き
brilliance,[名]すばらしさ
brook,[名]小川
broom,[名]ほうき
Buddhism,[名]仏教
Buddhist,[名]仏教徒
builder,[名]建築者
burial,[名]埋葬
businesslike,[形]実務的な
buzz,[動]ハチがブンブン飛ぶ
calculator,[名]計算機
caller,[名]訪問者
calmness,[名]冷静
campground,[名]キャンプ場
cannon,[名]大砲
canyon,[名]峡谷
capability,[名]能力
caress,[名]愛撫
cargo,[名]積荷
carrier,[名]運搬人
cartoon,[名]漫画、アニメ
cashier,[名]レジ係
casually,[副]偶然に
cello,[名]チェロ
cemetery,[名]墓地
certainty,[名]確実性、確信
certificate,[名]証明書
chairperson,[名]議長
challenger,[名]挑戦者
changeable,[形]変わりやすい
characterize,[動]特徴づける
cheaply,[副]安く
cheapness,[名]安っぽさ
checkup,[名]検診
chilly,[形]冷え冷えする
choke,[動]窒息させる
circulation,[名]循環
cite,[動]引用する
clash,[動]衝突する
classification,[名]分類
classified,[形]機密扱いの
classify,[動]分類する
clause,[名]条項、節
clearing,[名]清算
clearness,[名]透明
climatic,[形]気候の
cloak,[名]マント、おおい隠すもの
closing,[名]終了、締め切り
cluster,[名]群れ、集団
coarse,[形]粗い
coating,[名]上塗り
collective,[形]集合的な
colored,[形]着色した
coloring,[名]着色
combined,[形]結合した
comeback,[名]復帰
comet,[名]彗星（すいせい）
comical,[形]こっけいな
commence,[動]開始する
commodity,[名]日用品、商品
comparable,[形]匹敵する
comparative,[形]比較の
comparatively,[副]比較的に
compass,[名]コンパス
compel,[動]強制する
compensation,[名]賠償
competent,[形]有能な
competing,[動]競う、張り合う
completion,[名]完成、完了
complexity,[名]複雑さ、複雑なもの
complicate,[動]複雑にする
complication,[名]複雑、面倒な事態
compliment,[名]ほめ言葉、お世辞
composed,[形]落ち着いた
comprehend,[動]理解する
compulsory,[形]強制的な
conception,[名]概念、考え
conditional,[形]条件付きの
condom,[名]コンドーム
congratulate,[動]お祝いを述べる
considerably,[形]かなり
constructive,[形]建設的な
consultation,[名]相談
contentment,[名]満足（感）、充実感
continental,[形]大陸の
continual,[形]絶え間ない
continually,[副]継続的に、絶えず
continuously,[副]絶え間なく
controversial,[形]論争上の
controversy,[名]論争
conversational,[形]会話の
convict,[動]有罪と宣告する
convincing,[形]説得力のある
coolness,[名]涼しさ
cooperate,[動]協力する
cooperative,[形]協力的な
coordinate,[名]座標
cork,[名]コルク
correction,[名]訂正、校正
correspond,[動]一致する
correspondent,[名]特派員
corrupt,[動]堕落させる
corruption,[名]汚職、腐敗
cosmetic,[形]化粧用の
costly,[形]費用のかかる
couch,[名]ソファー
councilor,[名]顧問官，評議員
counsel,[名]相談、協議
counseling,[名]カウンセリング
counselor,[名]カウンセラー
counterpart,[名]対照物、相手
countless,[形]数え切れない
courtesy,[名]礼儀、親切さ
coverage,[名]報道
cowardly,[形]臆病な、卑劣な
cozy,[形]居心地のよい
cracker,[名]クラッカー
craftsman,[名]職人、熟練工
crane,[名]ツル
creator,[名]創造者
crisp,[形]食物がパリパリする
crook,[名]心が曲がった人、いかさま師
crouch,[動]かがむ，しゃがむ
cruise,[名]クルーズ、巡航
cuckoo,[名]カッコウ
cue,[名]合図、手がかり
cupful,[名]カップ１杯
curiously,[副]奇妙に
curriculum,[名]履修課程
curse,[動]呪う
cycling,[名]サイクリング
cyclist,[名]自転車に乗る人
dart,[名]ダーツ
database,[名]データベース
daybreak,[名]夜明け
deceit,[名]偽り
decent,[形]上品な
deception,[名]欺くこと
dedicate,[動]捧げる
dedicated,[形]献身的な
deepen,[動]深くする
defendant,[名]被告人
defender,[名]防御者
defensive,[形] 防御的な
deficit,[名]赤字
defy,[動]反抗する
deliberate,[形]慎重に
deliberately,[副]わざと
delicately,[形]繊細に
demerit,[名]欠点
demonstrator,[名]デモ参加者
denial,[名]否定
dental,[形]歯の
dependence,[名]依存
depress,[動]落ち込ませる
depressed,[形]消沈した
depressing,[形]気がめいるような
deputy,[名]代理人
descendant,[名]子孫
descent,[名]降下
deserted,[形]人の住まない
devise,[動]考案する
devoted,[形]献身的な
dew,[名]露
diagram,[名]図表
dialogue,[名]対話
digestion,[名]消化
dime,[名]10 セント貨
dimension,[名]寸法
diminish,[動]減少する
diplomat,[名]外交官
disagreement,[名]不一致
disappointing,[形]がっかりさせる
disapproval,[名]不賛成
disapprove,[動]不賛成である
disclose,[動]公開する
discrimination,[名]差別、識別
dishonest,[形]不正直な
dishonestly,[副]不正直に
displease,[動]不快にする
dissatisfy,[動]不満をいだかせる
distinctive,[形]特徴的な
distrust,[名]不信
disturbance,[名]妨害
disturbed,[形]不安な
disturbing,[形]不穏にする
ditch,[名]溝、排水溝
diverse,[形]多様な
diversity,[名]多様性
divine,[形]神の
dizzy,[形]めまいがする
documentary,[名]ドキュメンタリー
donation,[名]寄贈、寄付
dreadful,[形]非常に恐ろしい
driveway,[名]私道
dropout,[名]中途退学者
drunken,[形]酒に酔った
duke,[名]公爵
dullness,[名]鈍感
dump,[動]投げ捨てる
dwarf,[名]小人
dwelling,[名]住居
earnestly,[副]本気で
economically,[副]経済的に
economics,[名]経済学
eggplant,[名]ナス
ego,[名]自我
elaborate,[動]念入りに作る
electron,[名]電子
eliminate,[動]除去する
embarrassed,[形]当惑した
embarrassment,[名]困惑
encouragement,[名]激励
endeavor,[名]試み、努力
endurance,[名]忍耐
energetic,[形]精力的な
enormously,[副]ばく大に
entertaining,[形]面白い
envious,[形]ねたむ
equation,[名]方程式
equip,[動]装備する
equivalent,[形]同等の
eternally,[副]永遠に
ethical,[形]倫理の
ethics,[名]倫理学
everlasting,[形] 永久に続く
evolve,[動]進化する
exaggeration,[名]誇張
examiner,[名]検査官
exceedingly,[副]非常に
excellence,[名]優れていること
exceptional,[形]並外れた
exclusive,[形]排他的な
exclusively,[副]独占的に
excursion,[名]遠足
execute,[動]実行する
exhaustion,[名]消耗
exploit,[動]搾取する
explosive,[形]爆発の
exporter,[名]輸出業者
extract,[動]抜く
fable,[名]寓話、作り話
facsimile,[名]ファクシミリ，ファックス
faculty,[名]学部
fake,[形]偽の
familiarity,[名]よく知っていること
faraway,[形]遠方の
farmland,[名]農地
fascinate,[動]魅了する
fatigue,[名]疲労（感）
fearless,[形]恐れない
federation,[名]連盟
feeble,[形]弱い
feminist,[名]男女同権主義者
financially,[副]財政的に
fireproof,[動]耐火性にする
firework,[名]花火
fitness,[名]健康
flatten,[動]平らにする
fleet,[名]艦隊
flexibility,[名]適応性
fling,[動]投げ飛ばす
fluid,[形]流動性の
flutter,[動]はためく
folding,[形]折りたたみの
folly,[名]愚行
forgiveness,[名]許すこと
formality,[名]形式的行為
formula,[名]公式、式
fortnight,[名]二週間
fossil,[名]化石
foster,[動]養育する
foul,[名]反則
fowl,[名]鳥類
fraction,[名]一部、断片
fragment,[名]破片、断片
framework,[名]枠組み
freshly,[副]新しく
frustrate,[動]挫折させる
fuck,[動]性交する
fucking,[形]ひどい
fulfillment,[名]実現
funding,[名]資金
furthermore,[副]その上に
fuss,[名]空騒ぎ、大騒ぎ
fuzzy,[形]綿毛状の
gallon,[名]ガロン
gasp,[動]はっと息をのむ
gateway,[名]出入り口、通路
gathering,[名]集まり
gem,[名]宝石
gene,[名]遺伝子
generate,[動]発生させる
generosity,[名]寛大
genetic,[形]遺伝子の
geometry,[名]幾何学
glide,[動]すべるように動く
glider,[名]グライダー
glimpse,[名]ちらっと見ること
glitter,[動]きらきら輝く
gorgeous,[形]華麗な
grammatical,[形]文法の
gratitude,[名]感謝
gravity,[名]重力
graze,[動]草を食う
grill,[名]焼き肉[魚]
grouping,[名]グループにすること
grove,[名]木立ち
grower,[名]栽培者
guarded,[形]慎重な
gunman,[名]銃で武装した男
habitual,[形]常習の
hail,[名]ひょう
hallway,[名]玄関、廊下
handicap,[名]不利な条件
handicapped,[形]障害のある
harden,[動]硬化させる 
hardship,[名]苦難
hardy,[形]苦難に耐えられる
hateful,[形]憎むべき
haunt,[動]出没する
headlight,[名]ヘッドライト
headmaster,[名]校長
hence,[副]それゆえに
herb,[名]薬草
heritage,[名]遺産、伝統
hesitation,[名]ためらい
highland,[名]高地地方
hilly,[形]丘の多い
holder,[名]支える物
holiness,[名]神聖なこと、聖下
hospitality,[名]親切なもてなし
hostile,[形]敵対する
hostility,[名]敵意、反抗
hum,[動]ブンブンいう
hymn,[名]賛美歌
idealize,[動]理想化する
identification,[名]身分証明書
ideology,[名]観念
idiom,[名]慣用句
idleness,[名]怠惰
immature,[名]未成熟な者
immortal,[名]不滅の、不滅の
impatience,[名]短気
impolite,[形]失礼な
importantly,[副]重大に
impossibility,[名]不可能
imprison,[動]投獄する
inadequate,[形]不適切な、不十分な
incapable,[形]無能な
inclination,[名]傾向
incorrect,[形] 不正確な
indication,[名]表示、しるし
indifference,[名]無関心
indifferent,[形]無関心な
individually,[副]個々に
inevitably,[副]必然的に
inexpensive,[形]安い
infect,[動]感染させる
infectious,[形]伝染性の
infinite,[形]無限の
inflict,[動]（苦痛を）加える
informed,[形]知識のある
ingredient,[名]原料、材料
inheritance,[名]相続
initiate,[動]始める
initiative,[名]率先、独創力
innovation,[名]革新、刷新
inquiry,[名]問い合わせ
insert,[動]挿入する 
insight,[名]洞察、洞察力
insistence,[名]主張
insistent,[形]執ような
inspection,[名]検査
inspiring,[形]奮い立たせる
institutional,[形]制度の、慣習の
instructive,[形]ためになる
instrumental,[形]役立つ
insufficient,[形]不十分な
intellect,[名]知性
intended,[形]意図された
intensity,[名]強度
intermediate,[形]中間の
interpretation,[名]解釈、通訳
interruption,[名]中断
intervention,[名]介入
intimate,[形]親密な
involvement,[名]かかわり合い
irregular,[形]不規則な
irresponsible,[形]無責任な
irritate,[動]いらいらさせる
irritating,[動]頭に来る
irritation,[名]いらだち
Islam,[名]イスラム教
isle,[名]島
isolate,[動]孤立させる、
isolation,[名]孤立、分離
jerk,[動]急にぐいと引くこと
jolly,[形]陽気な
juicy,[形]水分の多い
junk,[名]がらくた
jury,[名]陪審員
justification,[名]正当化
kit,[名]道具一式
lacking,[形]欠けている
lad,[名]少年
lasting,[形]長続きする
leak,[動]漏れる
lest,[接]…しないように
lever,[名]てこ、レバー
librarian,[名]司書
liking,[名]好み
liner,[名]定期船
lining,[名]裏地
lodging,[名]宿、宿泊
lone,[形]孤立した
loosen,[動]緩める、解く
loser,[名]敗者
loudspeaker,[名]拡声器
lumber,[名]材木、木材
magnetic,[形]磁石の
maiden,[形]処女の，未婚の
mainland,[名]本土
mammal,[名]哺乳類
manhood,[名]青壮年
manly,[形]男らしい
manuscript,[名]原稿
marketplace,[名]市場
marvel,[名]驚異
massage,[名]マッサージ
masterpiece,[名]傑作
mathematician,[名]数学者
mellow,[形]熟している 
melting,[名]溶けている
memorize,[動]記憶する
metallic,[形]金属の
metaphor,[名]隠喩
microscope,[名]顕微鏡
midst,[名]中央
mildly,[副]穏やかに
milky,[形]乳のような、
mingle,[動]入り混じる
mini,[名]ミニスカート
miniature,[名]小型模型
mining,[名]鉱山業
mislead,[動]誤解を招く
mister,[名]…さん 
misunderstanding,[名]誤解
mock,[名]あざけること
moderately,[副]適度に
moderation,[名]適度
modestly,[副]適度に
modesty,[名]謙遜
mold,[名]型
molecule,[名]分子
momentary,[形]つかの間の
monetary,[形]通貨の
monopoly,[名]独占
morality,[名]道徳
mortal,[形]死ぬべき運命の
motivate,[動]やる気にさせる
motorcar,[名]自動車
motorway,[名]高速道路
mouthful,[名]一口
multimedia,[名]マルチメディア
multitude,[名]多数
murderer,[名]殺人者
Muslim,[名]イスラム教徒
mutter,[動]つぶやく
mutton,[名]羊肉
narration,[名]話法
narrative,[形]話術の
nationalist,[名]国家主義者
naughty,[形]品行が悪い
naval,[形]海軍の
navigation,[名]航海
neatly,[副]きちんと
needy,[形]困窮している
neighboring,[形]隣接した、近隣の
newcomer,[名]新入り
newscaster,[名]ニュースキャスター
newsletter,[名]会報、社報
nightclub,[名]ナイトクラブ
nobility,[名]気高さ
nobleman,[名]貴族
noiseless,[形]音のしない
noisily,[副]騒がしく
nomination,[名]指名、推薦
nonetheless,[副]それでもなお
noodle,[名]めん類
nuisance,[名]厄介な人・物事
nun,[名]修道女
nutrition,[名]栄養
oat,[名]ムギ
objection,[名]反対、異議
obscure,[形]はっきりしない
obstacle,[名]障害、障害物
octopus,[名]タコ
odor,[名]悪臭
offender,[名]犯罪者、違反者
offshore,[形]海外の
offspring,[名]子、子孫
opener,[名]開く人、開始者
optional,[形]選択できる
orbit,[名]軌道
orchard,[名]果樹園、果樹
orient,[動]方向づける
originality,[名]独創力
ornamental,[形]飾りの
orphan,[名]孤児
orthodox,[形]正統派の
outbreak,[名]勃発、突発
outsider,[名]部外者
outskirt,[名]郊外、周辺
oval,[名]卵形、卵形のもの
overthrow,[動]転覆する
overtime,[名]時間外労働
overweight,[形]重量超過の
overwhelm,[動]圧倒する、打ちのめす
overwork,[名]働きすぎ、過労
owing,[形]支払うべき
ownership,[名]所有、所有者
pant,[動]あえぐ
paradox,[名]逆説
parliamentary,[形]議会の
parlor,[名]店
partially,[副]部分的に
participant,[名]参加者
participation,[名]参加
pastry,[名]焼き菓子
patent,[名]特許
paw,[名]足
peacefully,[副]穏やかに
peacock,[名]クジャク
peck,[動]くちばしでつつく
peculiarity,[名]特色，特性
peculiarly,[副]奇妙に，異様に
pedal,[名]ペダル，踏み板
peep,[動]のぞき見する
penetrate,[動]突き刺さる
penetration,[名]貫通，洞察
penniless,[形]金のない
pension,[名]年金
perch,[動]鳥が木にとまる
perfection,[名]完全
peril,[名]（差し迫った）危険
persist,[動]続く、やり通す
persistent,[形]固執する、頑固な
personnel,[名]人材、人員
perspective,[名]展望、観点
photographic,[形]写真の
physicist,[名]物理学者
pillar,[名]柱
pint,[名]パイント
plague,[名]伝染病
planetarium,[名]プラネタリウム
plantation,[名]大農園
pledge,[動]誓約する
plentiful,[形]豊富な
plug,[動]栓をする
poetic,[形]詩的な
popularly,[副]人気のある
positively,[副]積極的に
postage,[名]郵便料金
precaution,[名]用心，警戒
prediction,[名]予想
pregnancy,[名]妊娠
pregnant,[形]妊娠している
preliminary,[形]予備的な
premise,[名]前提
preschool,[形]就学前の
preservation,[名]保存、保護、維持
pretense,[名]見せかけ
prey,[名]餌食
priceless,[形]非常に貴重な
prick,[動]刺す
probability,[名]確率
probe,[名]調査
proceeding,[名]成り行き
proficient,[形]熟練した
profound,[形]心からの
prominence,[名]顕著
promoter,[名]発起人
proposition,[名]提案
protector,[名]保護者、後援者
Protestant,[名]プロテスタント
provided,[接]…との条件で
providing,[接]…との条件で
provoke,[動]刺激する
puff,[名]プッと吹くこと
puppet,[名]傀儡（かいらい）
purity,[名]純粋、清潔
