cousin,[名]いとこ 
document,[名]書類
doing,[名]すること
domestic,[形]家庭の
dramatic,[形]劇的な、めざましい
drawer,[名]引き出し、たんす
drawing,[名]製図、図
drugstore,[名]薬局
drum,[名]ドラム、太鼓
duck,[名]カモ、アヒル
due,[形]支払期限の、締め切りの
dull,[形]鈍い、退屈な
eager,[形]熱心な、真剣な
eagle,[名]ワシ
earthquake,[名]地震
ease,[動]楽にする、安心させる
eastern,[形]東の、東洋の
economic,[形]経済の
economy,[名]経済、景気
educational,[形]教育的な
effective,[形]効果的な
elect,[動]選挙する
election,[名]選挙
element,[名]要素
elsewhere,[副]他のところで
emotion,[名]感動、感情、情動
employ,[動]雇用する
employee,[名]従業員
employer,[名]雇用主
employment,[名]雇用、仕事
encourage,[動]勇気づける
engineering,[名]工学
entertain,[動]もてなす、楽しませる
entertainment,[名]余興
entire,[形]全体の、完全な
entirely,[副]完全に、全く
environment,[名]環境、周囲の状況
equally,[副]平等に、等しく
equipment,[名]機材、機器
escalator,[名]エスカレーター
essay,[名]随筆，エッセー
essential,[形]欠くことのできない，必須の
establish,[動]創業する、設立する
evidence,[名]証拠
evil,[名]邪悪
exception,[名]例外
exchange,[動]交換する
excite,[動]興奮させる
excited,[形]興奮した
excitement,[名]興奮
expense,[名]経費、出費
experiment,[名]実験
expert,[名]達人、専門家
explanation,[名]説明
explore,[動]探検する
explorer,[名]探検家
export,[動]輸出する
expression,[名]表現
extra,[形]追加の、余分の
extremely,[副]極めて、極度に
eyebrow,[名]眉
failure,[名]失敗
fairly,[副]かなり、いくぶん
fairy,[名]妖精
faith,[名]信頼、信仰
fancy,[名]空想、思いつき
farther,[形]もっと遠い、遠いほうの
fashionable,[形]流行の、しゃれた
feather,[名]羽毛、羽
feature,[名]特徴、特性
fee,[名]手数料
fever,[名]熱
file,[名]ファイル、綴じ込み
finance,[名]財政、財政状態
financial,[形]金融の
firefighter,[名]消防士
fireplace,[名]暖炉
firstly,[副]第一に
fixed,[形]固定した
flash,[名]閃光
flock,[名]群れ
flour,[名]小麦粉、粉
flute,[名]フルート
fog,[名]霧
folk,[形]民間の
fond,[形]好んで 
forth,[副]以後
fortunately,[副]幸いなことに
fortune,[名]運、富、多額の金
found,[動]創設する、起こす
foundation,[名]基礎、基盤
fountain,[名]噴水、噴水池
frame,[名]骨組み、額縁
frank,[形]率直な
freezer,[名]冷凍庫
frighten,[動]怖がらせる
frightened,[形]おびえた
fry,[動]油でいためる
fully,[副]完全に、充分に
function,[名]役割、機能
fund,[名]資金、基金
funeral,[名]葬式
fur,[名]柔らかい毛の毛皮
gang,[名]一団
gap,[名]隙間、隔たり
garlic,[名]ニンニク
gasoline,[名]ガソリン
generation,[名]世代
gently,[副]優しく
geography,[名]地理学、地理
glance,[名]ちらっと見ること
global,[形]世界的な
glue,[名]のり
goalkeeper,[名]ゴールキーパー
goat,[名]ヤギ
goods,[名]物品、商品
goose,[名]ガチョウ、ガン
gossip,[名]噂話
government,[名]政府、政治
governor,[名]知事、総裁
grace,[名]優雅、上品
gradually,[副]徐々に
graduate,[動]卒業する
gram,[名]グラム
grandchild,[名]孫
grant,[動]承諾する、認める
grave,[名]墓、墓場
greet,[動]挨拶する
grip,[名]握ること
grown,[形]茂って
growth,[名]成長
guilty,[形]有罪の
guy,[名]男、やつ
handbag,[名]ハンドバッグ
handy,[形]便利な
happening,[名]出来事
harmony,[名]調和、一致
harp,[名]ハープ
hawk,[名]タカ
hearing,[名]聴力
heel,[名]かかと
helmet,[名]ヘルメット
helpless,[形]無力な
hen,[名]めんどり
highway,[名]幹線道路
hint,[名]ほのめかし、ヒント
hip,[名]腰
homemade,[形]自家製の
hometown,[名]郷里
honor,[名]敬意、名誉
hopeful,[形]希望に満ちた
hopeless,[形]絶望的な
horizon,[名]水平線、地平線
horn,[名]角、 警笛
horrible,[形]恐ろしい
horror,[名]恐怖、ぞっとするもの
housewife,[名]主婦
housework,[名]家事
housing,[名]住宅、住居
huge,[形]巨大な
humor,[名]ユーモア
hundredth,[形]100番目の
hunger,[名]空腹、渇望
hunter,[名]狩猟家、猟師
ideal,[名]理想
identify,[動]見分ける
ignore,[動]無視する
impact,[名]衝撃、影響
import,[動]輸入する
impress,[動]印象を与える
improvement,[名]改善、向上
including,[前]含めて
income,[名]収入
increase,[動]増加する
indeed,[副]本当に
independent,[形]独立の
index,[名]索引
individual,[形]個人の
indoor,[形]屋内の
indoors,[副]屋内に
industrial,[形]工業の、産業の
influence,[名]影響
informal,[形]普段の、気軽な
injury,[名]怪我、負傷
inner,[形]内側の
insist,[名]主張する
instant,[形]即時の
institution,[名]施設、学会
instruction,[名]指示、教育
instrument,[名]器具
insurance,[名]保険、保証
intelligence,[名]知能、聡明、知性
intention,[名]意図、意向
interrupt,[動]邪魔する、中断する
interview,[名]面接、インタビュー
introduction,[名]紹介、導入
invent,[動]発明する、創り出す
issue,[動]発行する
item,[名]品目
jail,[名]刑務所、拘置所
jar,[名]瓶
jaw,[名]あご、口腔
jealous,[形]嫉妬深い
jeep,[名]ジープ
jelly,[名]ゼリージャム
jewel,[名]宝石
joint,[名]関節、つなぎ目
journal,[名]雑誌、日記
journalist,[名]報道記者
justice,[名]正義、公正
kangaroo,[名]カンガルー
keen,[形]鋭利な、敏感な
ketchup,[名]ケチャップ
kettle,[名]やかん
keyboard,[名]鍵盤
killing,[名]殺人
kindly,[形]親切な
kindness,[名]親切
kingdom,[名]王国
kite,[名]凧
kitten,[名]子猫
kitty,[名]子猫ちゃん
kiwi,[名]キーウィ・フルーツ
knit,[動]編む
known,[形]知られた、既知の
koala,[名]コアラ
label,[動]ラベルをつける
ladder,[名]はしご
lamb,[名]子羊
landing,[名]着陸
lane,[名]車線、レーン
lap,[名]膝
largely,[副]主として
lately,[副]最近
latest,[形]最新の
lawn,[名]芝生
leading,[形]先導する、一流の
league,[名]リーグ、同盟
lean,[動]かがむ
learned,[形]博学な
learning,[名]学ぶこと
lecture,[名]講義
legal,[形]法律の、合法な 
leisure,[名]娯楽、レジャー
lemonade,[名]レモネード
lens,[名]レンズ
lettuce,[名]レタス
liberty,[名]解放、自由
license,[名]免許、承諾
lid,[名]ふた
lifestyle,[名]生活様式
lightly,[副]軽く、静かに
lightning,[名]稲妻
lily,[名]ユリ、ユリの花
link,[名]関連、つなぐもの
listener,[名]聴取者
liter,[名]リットル
literature,[名]文学
living,[形]生きている
loaf,[名]パンの一塊
loan,[名]融資、ローン
location,[名]位置、場所
loose,[形]ゆるんだ
lord,[名]君主、統治者
loss,[名]喪失、損害
lost,[形]道に迷った
lover,[名]恋人、恋人どうし、愛人
loving,[形]愛情のある
lower,[動]低くする、下げる
loyal,[形]忠実な、誠実で
loyalty,[名]忠誠
luggage,[名]手荷物
lunchtime,[名]昼食時間
lung,[名]肺
madam,[名]奥様，お嬢様
mailman,[名]郵便配達人
mainly,[副]主に
maintain,[動]維持する
major,[名]専攻
majority,[名]大多数
management,[名]経営、経営の方法
marriage,[名]結婚（生活）、婚礼
mask,[名]仮面、マスク
means,[名]方法、手段
meantime,[名]合間
media,[名]マスコミ
melody,[名]旋律
membership,[名]会員
mental,[形]精神の、心の
merchant,[名]商人
merely,[副]単に、ただ～だけ
merit,[名]長所、功績
microphone,[名]マイクロホン
military,[名]軍隊
mineral,[名]鉱物
minister,[名]大臣
ministry,[名]省、内閣
minor,[形]下級の、２流の
missing,[形]行方不明で
mistaken,[形]間違って
mixer,[名]ミキサー
moonlight,[名]月光
moral,[形]道徳の、倫理的な
moreover,[副]そのうえ
mostly,[副]ほとんど、主に
motion,[名]動き、動作
motorboat,[名]モーターボート
motorcycle,[名]オートバイ
mount,[動]登る
moustache,[名]口ひげ
moving,[形]感動的な
muscle,[名]筋肉
mushroom,[名]キノコ
mustard,[名]からし
mysterious,[形]神秘的な、不可解な
naked,[形]裸の、むきだしの
napkin,[名]テーブルナプキン
necessity,[名]必要性
needless,[形]不必要な
negative,[形]否定的な、陰性の
neglect,[動]無視する
neighborhood,[名]近所
nerve,[名]神経
network,[名]網状組織、ネットワーク
nickname,[名]あだ名、愛称
nonsense,[名]ばかげた事
northern,[形]北の、北向きの
novel,[名]小説
observation,[名]観察
observe,[動]観察する、監視する
obvious,[形]明らかな
occupy,[動]占める、占有する
occur,[動]起こる
odd,[形]奇妙な
offend,[動]感情をそこなう
offense,[名]違反
olive,[名]オリーブ
omelette,[名]オムレツ
onto,[前]の上へ
opening,[名]開くこと、開設
operate,[動]機能する
operation,[名]運転、事業
operator,[名]交換手、操作者
opportunity,[名]機会
oppose,[動]反対する
