hint,[名]ほのめかし、ヒント
inevitable,[形]避けられない
infant,[名]幼児
inherit,[動]相続する
initial,[形]初期の、頭の
injure,[動]傷つける
injured,[形]怪我をした
inn,[名]宿屋、旅館
innocent,[形]無実の、無罪の
inspire,[動]激励する，発奮させる
instance,[名]具体的な例、実例
instinct,[名]本能、直観
institute,[動]設ける，制定する
instruct,[動]教える、指示する
insult,[名]侮辱
intellectual,[形]知的な，知力の
intense,[形]激しい、強烈な
intent,[名]意図
interfere,[動]干渉する
interior,[名]内部
internal,[形]内部の
interpreter,[名]通訳
interval,[名]間隔
invade,[動]侵略する、侵攻する
invention,[名]発明
invest,[動]投資する
investigate,[動]調査する
investigation,[名]調査、捜査
investment,[名]投資
invisible,[形]目に見えない
involve,[動]伴う、巻き込む
involved,[形]関わっている
jealousy,[名]嫉妬
jewelry,[名]宝石
journalism,[名]ジャーナリズム
joyful,[形] 喜ばしい
judgment,[名]判断、見解
jumper,[名]作業用上着
justify,[動]正当化する
keeper,[名]番人，看守
kidnap,[動]誘拐する
kindergarten,[名]幼稚園
kneel,[名]跪くこと
knight,[名]騎士
knot,[名]結び目
knowing,[形]もの知りの，聡明な
lace,[形]レースの
landscape,[名]風景
latter,[形]後者、後の
laughter,[名]笑い
launch,[動]進水する、発射する
laundry,[名]洗濯、洗濯物
layer,[名]層
leap,[動]飛躍する
learner,[名]学習者
legislation,[名]法律
liar,[名]嘘つき
liberal,[形]気前の良い、自由な
lifeless,[形]生物のいない
lifelong,[形]一生の，終生の
lifetime,[名]生涯
limb,[名]手足
limited,[形]限られた，有限の
linen,[名]亜麻布
lipstick,[名]口紅
liquid,[形]液体の、流体の
literary,[形]文学の
lively,[形]活発な、元気のよい
lobby,[名]ロビー
locate,[動]位置する
lodge,[動]宿泊する、泊まる
log,[名]丸太
logic,[名]論理
logical,[形]論理的な
luckily,[副]運よく
luxury,[名]贅沢
lying,[名]嘘をつくこと
machinery,[名]機械
madness,[名]狂気
magical,[形]魔法のような，不思議な
magician,[名]手品師
magnet,[名]磁石、磁鉄
maid,[名]お手伝い
maintenance,"[名]持続
making,[名]作ること
manual,[形]手の，手動の.
manufacture,[動]製造する
marble,[名]大理石
marine,[形]海の
marked,[形]際立った
marvelous,[形]すばらしい，見事な
mast,[名]帆柱，マスト 
mature,[形]成熟した、分別のある
maximum,[名]最大値
mayor,[名]市長
meadow,[名]草地
meanwhile,[副]その間に
measurement,[名]測量，寸法
mechanical,[形]機械の
mechanism,[名]機械装置、仕組み
medium,[名]手段、媒体
mend,[動]直す
mercy,[名]慈悲、寛大さ
mere,[形]ほんの，単なる
merrily,[副]陽気に
mess,[名]乱れた状態
messenger,[名]使者
mighty,[形]力強い
mill,[名]製作所、製粉場
millionaire,[名]大富豪
minimum,[名]最小値
minority,[名]少数派、少数
miracle,[名]奇跡
miserable,[形]みじめな
misery,[名]悲惨さ
mist,[名]霧
mistress,[名]女主人
misunderstand,[動]誤解する
mixed,[形]混ざった
mode,[名]方法，様式
modest,[形]謙虚な
monitor,[動]絶えず監視する
monument,[名]記念碑
muddy,[形]泥でよごす
multiply,[動]増やす、掛ける
mutual,[形]お互いの
namely,[副]すなわち
nap,[名]うたた寝
nasty,[形]汚い、不快な
nationality,[名]国籍
nearby,[形]すぐ近くの
necessarily,[副]必然的に、必ず
negotiation,[名]交渉
nevertheless,[副]それにもかかわらず
newly,[副]最近
normally,[副]正常に、いつもは
northeast,[名]北東部
northwest,[名]北西部
notion,[名]概念、意見
nowadays,[副]このごろは
nuclear,[名]核兵器
nursing,[名]看護
oak,[名]オーク
oasis,[名]オアシス
obedient,[形]従順な
obey,[動]従う
obtain,[動]取得する、達成する
obviously,[副]明らかに
occasional,[形]時折の、時々の
occasionally,[副]時々
occupation,[名]職業
oily,[形]油っこい
openly,[形]公然と
opposition,[名]反対、対立
organize,[動]組織する
origin,[名]起源
originally,[副]もとは、元来
outcome,[名]成果、結果
outdoors,[副]野外で
outer,[形]外側の、外部の
outline,[名]概要，あらまし
output,[名]生産高、出力
outstanding,[形]目立つ、顕著な
outward,[副]外側に
overall,[形]全体の
overcome,[動]克服する
overlook,[動]見渡せる
overseas,[副]海外へ
owl,[名]フクロウ
ox,[名]牛、雄牛
oxygen,[名]酸素
packet,[名]小さな束、小包
panel,[名]板、枠
panic,[名]パニック
paragraph,[名]段落
parallel,[形]平行の
parliament,[名]議会、国会
parrot,[名]オウム
partial,[形]部分的な
passing,[名]通過
passive,[形]受身の，消極的な
pavement,[名]舗装道路
peasant,[名]農民、小作農
peculiar,[形]特有の、奇妙な
penalty,[名]罰
perceive,[動]知覚する、気がつく
personally,[副]自分としては
persuade,[動]説得する
philosophy,[名]哲学
physician,[名]医師、内科医
pine,[名]松
pioneer,[名]開拓者、先駆者
pit,[名]ピット、くぼみ
pitch,[動]投げる
planner,[名]設計者、計画者
plot,[名]たくらみ、陰謀
poisonous,[形]有毒な
pollution,[名]公害、汚染
poorly,[副]貧しく、乏しく
popularity,[名]人気
porter,[名]荷物運搬人、ポーター
portion,[名]割り当て、取り分
portrait,[名]肖像画
possession,[名]所有物
postal,[形]郵便の
poster,[名]ポスター
postpone,[動]延期する
potential,[名]可能性
poverty,[名]貧困
preach,[動]説く、説教する
precise,[形]正確な
preparation,[名]準備
preserve,[動]保存する
pressing,[形]緊急の
previously,[副]以前は
primary,[形]初頭の、原始的な
primitive,[形]始の，初期の
priority,[名]優先
privacy,[名]プライバシー
privilege,[名]特権、特典
procedure,[名]処置、手順
proceed,[動]進む
profitable,[形]有益な、収益の高い
prolong,[動]延長する
promote,[動]促進する、寄与する
promotion,[名]昇進
pronounce,[動]発音する
pronunciation,[名]発音
proportion,[名]割合、釣合い
prose,[名]散文
prospect,[名]見通し、見込み
prosperity,[名]繁栄
proudly,[副]誇らしげに
province,[名]行政区画、範囲
publication,[名]出版、発行
publicly,[副]公然と
puppy,[名]子犬
purchase,[動]購入する
purely,[副]まったく，単に
pursue,[動]追う、追求する
pursuit,[名]追撃、追求
quantity,[名]量
quit,[動]やめる
radical,[形]急進的な、過激な
rage,[名]激怒
rating,[名]評価
rattle,[動]がらがらと鳴る
razor,[名]かみそり
readily,[副]すぐに、快く
realistic,[形]現実的な
rear,[名]最後部、後方
rebel,[動]反対する
recall,[動]思い出す
receiver,[名]受信機
reception,[名]受付
recognition,[名]認識
recommendation,[名]推薦、おすすめ
recording,[名]録音
recovery,[名]回復
reduction,[名]縮小、割引
reference,[名]参考、言及
regarding,[前]に関して
region,[名]部分、地方
regularly,[副]定期的に
rejoice,[動]喜ぶ
related,[形]関連がある
relatively,[副]相対的に
relaxed,[形]くつろいだ
remark,[動]言う
remarkable,[形]注目すべき，驚くべき
remote,[形]遠く離れた
repay,[動]返金する
repeated,[形]反復された
replacement,[名]代わりのもの
representative,[形]代表する，代理の
republic,[名]共和国
reputation,[名]評判、名声
requirement,[名]必要条件
rescue,[動]救出する
resemble,[動]似ている
residence,[名]住まい
resident,[形]住み込みの
resist,[動]抵抗する
resistance,[名]抵抗力
resolution,[名]決意、解決
resolve,[動]決心する、決定する
resort,[名]行楽地
resource,[名]資源、資金
restore,[動]修復する、回復する
restrain,[動]抑制する
restraint,[名]抑制、自制
retain,[動]保持する
retired,[形]退職した
reveal,[動]明らかにする
revenge,[名]復讐、復讐心
reverse,[名]逆
rewrite,[動]書き直す
rifle,[名]ライフル銃
ripe,[形]熟した
ruling,[名]決定、裁定
rural,[形]田舎の
sacrifice,[名]いけにえ、犠牲
sadness,[名]悲しみ
saint,[名]聖人、聖…
salmon,[名]サケ、鮭
salty,[形]塩気のある
satisfaction,[名]満足、喜び
satisfied,[形]満足した
scandal,[名]スキャンダル
scarcely,[副]ほとんど～ない
scare,[動]怖がらせる
scared,[形]おびえた
scatter,[動]まき散らす
scenery,[名]景色
scent,[名]香り
scheme,[名]基本構想、計画
scholar,[名]学者
scholarship,[名]学問、奨学金
scold,[動]叱る
scout,[名]偵察、スカウト
scratch,[動]ひっかく
seal,[名]封印
searching,[形]綿密な，徹底的な
secondary,[形]第二次的なもの
secretly,[副]ひそかに
sector,[名]部門、分野
secure,[動]安全を確保する
seize,[動]つかむ
sensation,[名]大評判
session,[名]開会、開廷
settlement,[名]解決、和解
severe,[形]激しい、深刻な
sew,[動]縫う
shallow,[形]浅い
shelter,[名]避難所、隠れ場
shepherd,[名]羊飼い
shield,[動]保護する，かばう 
shift,[名]変化、変更
shocked,[形]衝撃を受けた
shortage,[名]不足
shortly,[副]間もなく
sidewalk,[名]歩道
significant,[形]重要な、意義深い
sin,[名]罪
site,[名]現場、場所
skier,[名]スキーヤー
skillful,[形]熟練した
skip,[動]跳ねる
sleeve,[名]袖
slim,[形]ほっそりした
slipper,[名]スリッパ
smash,[動]粉砕する
snack,[名]軽食
snap,[動]パチンと鳴らす
software,[名]ソフトウェア
solution,[名]答え、解決策
sooner,[副]より早く
sorrow,[名]悲しみ、悲痛
source,[名]源、原因
southeast,[名]南東、南東部
southwest,[名]南西、南西部
spade,[名]すき
spark,[名]火花
species,[名]（生物の）種
spectacle,[名]光景，美観，壮観
spill,[動]こぼす、もらす
spiritual,[形]精神の
spite,[名]悪意
splendid,[形]素晴らしい
spokesman,[名]代弁者、スポークスマン
sponge,[名]スポンジ
sponsor,[名]スポンサー
spoonful,[名]さじ一杯
spray,[動]スプレーを吹きかける
squeeze,[動] 圧搾する
stable,[形]安定した
stake,[名]利害関係
stall,[名]小屋、露店
stare,[動]じっと見つめる
starve,[動]飢える
status,[名]地位、身分
steamer,[名]蒸気船
steep,[形]険しい
stem,[名]茎（くき）
stew,[名]シチュー
sticky,[形]ねばねばした
sting,[動]刺す
stir,[動]かき回す
stormy,[形]暴風の、激しい
strain,[名]緊張
strangely,[副]妙に、変に
strictly,[副]厳格に
striking,[形]目立つ
strip,[名]細長いきれ
strongly,[副]強く
stylist,[名]スタイリスト
submit,[動]提出する
substance,[名]物質
suburb,[名]郊外、近郊
summit,[名]頂、首脳会談
sunflower,[名]ヒマワリ
surrender,[名]降参、降伏
surrounding,[形]周囲の
survey,[動]調査する
sword,[名]剣、刀
sympathetic,[形]同情的な
tablespoon,[名]大さじ一杯
tame,[形]飼い慣らされた
task,[名]仕事
technological,[形]科学技術の
telling,[形]多くを語る、意味あり気な
temptation,[名]誘惑
tendency,[名]傾向
tender,[形]やわらかい
tense,[名]時制
tension,[名]緊張
territory,[名]領土、地域
terror,[名]恐怖、恐ろしさ
thickly,[副]厚く
thirst,[名]喉の渇き
thorough,[形]徹底的な、完全な
thoroughly,[副]完全に
thousandth,[形]千番目の
thrill,[動]わくわくさせる、感動させる
tide,[名]潮、潮流
tidy,[形]きちんとした
timely,[形]時宜を得た
token,[名]しるし
tomb,[名]墓
trace,[名]跡、痕跡
tractor,[名]牽引車、トラクター
trail,[名]跡、痕跡
trainer,[名]訓練する人
translation,[名]翻訳
transportation,[名]輸送、交通　
treatment,[名]待遇、扱い
treaty,[名]条約
tribe,[名]部族
triple,[動]3倍にする
triumph,[名]勝利、大成功
tropical,[形]熱帯の
turning,[名]回転、曲がり角
tutor,[名]家庭教師
uncertain,[形]不確実な
unclear,[形]はっきりしない
uncomfortable,[形]心地の悪い
underline,[動]強調する
undoubtedly,[副]疑いようもなく
unfortunately,[副]残念ながら
unite,[動]一体となる
united,[形]結合した、団結した
universal,[形]一般的な、普遍的な
unkind,[形]不親切な
unlikely,[形]ありそうもない
unnecessary,[形]無益な、不必要な
upright,[形]まっすぐ立った
upward,[形]上向きの
urge,[動]促す、勧める
urgent,[形]緊急の
vain,[形]うぬぼれの強い
van,[名]ワゴン車、バン
vanilla,[名]バニラ
vanish,[動]消える
variation,[名]変化
vary,[動]変化する
venture,[名]冒険的事業，投機的企業，ベンチャー 
verse,[名]韻文
version,[名]版、バージョン
vessel,[名]船
via,[前]～を通って
vice,[名]悪徳
villager,[名]村人
virtue,[名]美徳、徳
visible,[形]見える
volunteer,[名]ボランティア
voyage,[名]航海、船旅
wander,[動]歩き回る、ぶらつく
warmly,[副]熱心に，熱烈に
warmth,[名]暖かさ
weaken,[動]弱る、衰弱する
weave,[動]織る、編む
web,[名]くもの巣、編物
weed,[名]雑草
welfare,[名]福祉、生活保護
whip,[動]むち打つ
whisper,[動]ひそひそと話す
wicked,[形]邪悪な，不道徳な，不正な
width,[名]幅
wilderness,[名]原野、荒野
wildlife,[名]野生生物
willingly,[副]喜んで
windy,[形]風の強い
wink,[動]ウインクをする
wisdom,[名]知恵、賢明さ
worn,[形]擦り切れた、使い古しの
worrying,[形]心配な、やっかいな
worthy,[形]ふさわしくて
yawn,[動]あくびをする
yearly,[形]年一回の、毎年の
yield,[動]産する
youngster,[名]子供、若者
youthful,[形]若々しい
aboard,[副]乗り物に乗って
absolutely,[副]絶対に、完全に
absorb,[動]吸収する
abstract,[形]抽象的な
abuse,[名]乱用、虐待
acceptable,[形]容認できる
acceptance,[名]受け入れること
accessory,[名]アクセサリー
accomplish,[動]成し遂げる
accord,[動]一致する
accurate,[形]正確な
accuse,[動]責める、非難する
ache,[動]痛む
achievement,[名]達成
acid,[形]酸味のある
acquaintance,[名]知人、知識
acquire,[動]習得する 
acre,[名]エーカー
acting,[名]実演，演出、演技
actively,[副]活発に
adapt,[動]適応する
adjust,[動]調節する、調整する
adjustment,[名]調整
administration,[名]行政、政府
admiration,[名]感嘆
admission,[名]入学・入会金
advanced,[形]発達した
advertisement,[名]広告
affection,[名]愛情
aged,[形]老齢の
agricultural,[形]農業の
agriculture,[名]農業
alien,[形]外国の
alter,[動]変える
alternative,[形]二者択一の、代わりの
amateur,[名]アマチュア
amaze,[動]驚かす
amazing,[形]驚くほどの
ambition,[名]野心、大望
ambitious,[形]野心的な
amuse,[動]面白がらせる
amusement,[名]楽しみ
amusing,[形]面白い
analyze,[動]分析する、解析する
ancestor,[名]先祖
anchor,[名]錨
ancient,[形]昔の
anniversary,[名]記念日
annual,[形]一年の
antique,[形]骨董の
anxiety,[名]不安、心配
apologize,[動]謝る
apology,[名]謝罪
apparent,[形]明らかな
apparently,[副]どうやら～らしい
appetite,[名]食欲
appreciate,[動]ありがたく思う
appropriate,[形]適切な
approval,[名]承認
apricot,[名]アンズ
apt,[形]…しがちな
aquarium,[名]水族館
artificial,[形]人工的な
artistic,[形]芸術的な
ash,[名]灰、燃え殻
ashtray,[名]灰皿
asking,[名]求めること
aspect,[名]側面、局面
ass,"[名]尻
assert,[動]断言する、主張する
associate,[動]連想する
association,[名]共同，提携
assume,[動]仮定する
assure,[動]保証する
athlete,[名]運動選手
athletic,[形]運動の
atmosphere,[名]雰囲気
attraction,[名]魅力
automatically,[副]自動的に
await,[動]待つ
award,[動]賞などを与える 
awfully,[副]とても
ax,[名]おの
bamboo,[名]竹
ban,[動]禁止する
banking,[名]銀行業
barely,[副]かろうじて
barrel,[名]樽
basically,[副]基本的に
basin,[名]洗面器
beam,[名]光線
beaver,[名]ビーバー
bedside,[名]ベッドの傍ら
beggar,[名]乞食、貧乏人
behavior,[名]振る舞い、行動、習性
beloved,[名]最愛の人
berry,[名]ベリー
betray,[動]裏切る
billion,[名]10億
bite,[動]噛む
bitterly,[副]ひどく
blade,[名]刃
bleed,[動]出血する
blend,[動]混ぜ合わせる
blessing,[名]祝福、恵み
bloody,[形]血なまぐさい
bloom,[名]花、花盛り
blossom,[名]花
blush,[動]顔を赤らめる
bodyguard,[名]ボディーガード
boiler,[名]ボイラー
bolt,[動]ボルトで止める 
bond,[名]結束、束縛
bonus,[名]ボーナス、予期しない物
booklet,[名]小冊子
bother,[動]悩ます
boundary,[名]境界線
brandy,[名]ブランデー
brass,[名]真ちゅう
breakdown,[名]崩壊
breeze,[名]そよ風
bride,[名]花嫁
brief,[形]短い、簡潔な
briefcase,[名]ブリーフケース
briefly,[副]手短に、少しの間
bud,[名]芽、つぼみ
budget,[名]予算
bulldozer,[名]ブルドーザー
burden,[名]荷物、重荷
butcher,[名]肉屋
buyer,[名]バイヤー、買い手
cabin,[名]小屋、客室
cabinet,[名]内閣
calculate,[動]計算する
camel,[名]ラクダ
campaign,[名]運動、遊説
canal,[名]運河
cancer,[名]癌
capable,[形]有能な
capacity,[名]能力、力量
capture,[動]捕らえる
cardigan,[名]カーディガン
catalog,[名]カタログ
category,[名]種類、部門
cattle,[名]畜牛、ウシ
caution,[名]用心、警戒
cave,[名]洞窟、洞穴
celery,[名]セロリ
cement,[名]セメント
characteristic,[形]特徴的な
charity,[名]慈善行為
charm,[名]魅力、魔力
cheat,[動]だます
cheerleader,[名]チアリーダー
chef,[名]シェフ、コック、料理人
chemist,[名]化学者
chemistry,[名]化学
chess,[名]チェス
chew,[動]かむ
chiefly,[副]主に
childish,[形]子供じみた
chill,[名]冷え、悪寒
chop,[動]切り倒す
chosen,[動]chooseの過去分詞
Christian,[形]キリスト教の
circuit,[名]回路、回線
circumstance,[名]状況、事情
civil,[形]市民の、内政の
clap,[名]拍手
classical,[形]古典の
clip,[動]クリップで留める 
closet,[名]収納室、戸棚
coach,[名]指導員、コーチ
cock,[名]おんどり
code,[名]暗号、コード
collapse,[動]崩壊する
colony,[名]植民地、集団
column,[名]支柱、縦列
combine,[動]結合する
comedy,[名]喜劇
command,[動]命令する
commerce,[名]商業、通商
commission,[名]手数料
commit,[動]犯す
comparison,[名]比較、類似
compete,[動]競う
competitor,[名]競合相手
complicated,[形]複雑な
component,[名]構成要素
composer,[名]作曲家
compound,[動]混ぜ合わせる
concentrate,[動]集中する
concentration,[名]集中
concerned,[形]関係している
concerning,[前]…に関して
conclude,[動]結論づける
conclusion,[名]結論、結末
conference,[名]会議、協議会
confess,[動]告白する
confession,[名]告白
confident,[形]確信して
conflict,[名]争い、衝突
congress,[名]議会
conquer,[動]征服する
conscience,[名]良心
consciousness,[名]意識
consequence,[名]結果、影響
consideration,[名]熟慮、考慮
consist,[動]成り立っている
constant,[形]一定の
constantly,[副]絶えず
constitution,[名]憲法、規約
construct,[動]建設する
construction,[名]建設
container,[名]コンテナ
contest,[名]競争、競技
context,[名]文脈、前後関係
contrary,[形]反対の
contrast,[名]相違、対照
contribution,[名]貢献、寄付（金）
convenience,[名]便利さ
convention,[名]大会、集会
conventional,[形]慣習的な、型にはまった
convince,[動]納得させる、確信させる
convinced,[形]確信させる
cooperation,[名]協力
cop,[名]警官
cord,[名]紐、コード
corporate,[形]法人の、企業の
corporation,[名]企業
correctly,[副]正しく
cosmos,[名]宇宙
cottage,[名]小さな家、小別荘
council,[名]会議，協議
counter,[名]カウンター
countryman,[名]同国人，同郷の人
county,[名]郡
coward,[名]臆病
craft,[名]技能、技術
crawl,[動]腹ばって進む
creep,[動]はって進む
crisis,[名]危機、重大局面
critical,[形]重大な、決定的な
criticism,[名]批判、批評
criticize,[動]批判する、批評する
crossing,[名]横断、踏み切り
crossword,[名]クロスワードパズル
crow,[名]カラス
cruelty,[名]残酷な行為
crystal,[名]水晶
cultural,[形]文化の
curiosity,[名]好奇心
curious,[形]好奇心の強い
current,[形]現在の、流行している
cute,[形]かわいい
cutting,[名]切り傷、切ること
dam,[名]ダム
darling,[名]いとしい人
dash,[動]突進する
deadly,[形]致命的な、致死の
dealer,[名]販売人
debate,[動]討論する
debt,[名]債務
decade,[名]10年間
decay,[名]腐朽、腐食
deceive,[動]だます
declare,[動]断言する、宣言する
decline,[名]減退、減少
decorate,[動]飾る
deed,[名]行為
define,[動]定義する
definite,[形]確定した、明確な
definitely,[副]明確に、きっぱりと
definition,[名]定義
delicate,[形]優美な、繊細な
delivery,[名]配送、配達
demonstrate,[動]証明する、実演する
depart,[動]出発する
departure,[名]出発
dependent,[形]頼って，扶養されて
deposit,[動]預金する
descend,[動]下る、傾斜する
desirable,[形]望ましい、魅力的な
despair,[名]絶望
despite,[前]…にもかかわらず 
dessert,[名]デザート
destination,[名]行き先、目的地
destruction,[名]破壊
detailed,[形]詳しい、詳細な
detective,[名]刑事、探偵
determination,[名]決断力、決意
determined,[形]決心して
developing,[形]開発途上にある
differ,[動]異なる、意見を異にする
digest,[動]消化する
digital,[形]デジタルの
disadvantage,[名]不利、不便
disagree,[動]争う、意見が合わない
disaster,[名]災害、災難
discipline,[名]規律、鍛錬
discourage,[動]思いとどまらせる
distinct,[形]明確な、独特な
distinguish,[動]見分ける、区別する
distribute,[動]分配する、配布する
dive,[動]潜水する
diver,[名]潜水夫
division,[名]部門、分割
doorbell,[名]呼び鈴
doorway,[名]戸口
dot,[名]点
draft,[名]下書き、下図
drag,[動]引きずる
dragon,[名]竜，ドラゴン
dressing,[名]包帯，手当て用品
dried,[形]干からびた
drift,[動]漂流する
drinker,[名]酒飲み
driving,[形]推進する
dumb,[形]驚いてものが言えないほど
dusty,[形]ほこりっぽい
dynamic,[形]生き生きした
echo,[名]こだま、反響
edition,[名]版
editor,[名]編集者
efficiency,[名]能率、効率
efficient,[形]効率的な、有能な
elderly,[形]かなり年配の
electrical,[形]電気に関する
electrician,[名]電気工、電気技師
electronic,[形]電子の
emerge,[動]出てくる、現れる
emergency,[名]緊急、緊急事態
emotional,[形]感情的な、感情の
emperor,[名]皇帝、天皇
emphasis,[名]重要さ、強調
emphasize,[動]強調する
empire,[名]帝国
enable,[動]可能にする
enclose,[動]囲む、同封する
encounter,[動]出会う
endless,[形]終わりのない、無限の
endure,[動]耐える
engage,[動]従事する，携わる
engaged,[形]婚約している
engagement,[名]約束
enjoyable,[形]楽しい
enjoyment,[名]楽しみ
enormous,[形]巨大な、莫大な
enterprise,[名]事業、企業
enthusiasm,[名]熱心、熱意
enthusiastic,[形]熱心な
entry,[名]入ること、入れること
envy,[動]ねたむ
episode,[名]エピソード
era,[名]時代
essence,[名]本質
essentially,[副]本質的に、本来
establishment,[名]設立
estate,[名]私有地、土地
estimate,[動]評価する、見積もる
eve,[名]祭日の前夜
eventually,[副]いつかは、結局は
evident,[形]明らかな
excess,[名]過剰、超過
exhibit,[動]展示する
exhibition,[名]展示、展覧会
existence,[名]存在
existing,[形]現存する
expand,[動]拡大する、広げる
expectation,[名]期待、予想
explode,[動]爆発する、破裂する
explosion,[名]爆発
expose,[動]暴露する
extend,[動]伸ばす、延長する
extension,[名]延長
extent,[名]範囲、程度
external,[形]外部の，外の
extraordinary,[形]並はずれた、非凡な
extreme,[形]極度の，非常な
factor,[名]要因、因子
fade,[動]あせる、消えていく
faint,[形]めまいがして
faithful,[形]忠実な，誠実な
fallen,[形]落ちた、落下した
fame,[名]名声、有名なこと
farming,[名]農業
farthest,[形]最も遠い
fasten,[動]締める
fatal,[形]致命的な、死に至る
fate,[名]運命
favorable,[形]好意的な、好ましい
fearful,[形]恐れて
fiction,[名]小説、作り事
filter,[名]ろ過器
finding,[名]発見物
finishing,[名]最後の仕上げ
fist,[名]握りこぶし
fitting,[形]適当で，適切で
flame,"[動]炎を出す
flavor,[名]味
flee,[動]逃げる、避ける
flesh,[名](人間・動物の)肉
flying,[形]空を飛ぶ
focus,[動]焦点を合わせる
fold,[動]折りたたむ 
forecast,[名]予報、予想
formation,[名]編隊、編成
formerly,[副]以前は
fort,[名]砦、駐屯地
founder,[名]創設者
frankly,[副]率直に言えば
freely,[副]自由に
frequent,[形]頻繁な
frequently,[副]頻繁に
fried,[形]油で揚げた
frontier,[名]国境
frost,[名]霜、霜が降りること
fundamental,[形]基本的な、根本的な
gallery,[名]ギャラリー
gamble,[動]賭博をする
gangster,[名]ギャングの一員
gardener,[名]庭師
gay,[名]同性愛者
generous,[形]寛大な、惜しみない
genius,[名]天才
gesture,[名]身振り
ginger,[名]ショウガ
globe,[名]地球儀、地球
glory,[名]栄光
glow,[動]燃えるような色に輝く
goddess,[名]女神、絶世の美女
goodness,[名]善良、親切さ
govern,[動]統治する、治める
gradual,[形]徐々の、ゆるやかな
grain,[名]穀類、（穀物の）粒
grandparent,[名]祖父、祖父母
grasp,[動]握る
greedy,[形]貪欲な，渇望して
grief,[名]深い悲しみ
grocer,[名]食料雑貨商人
gross,[形]全体の
guarantee,[動]保証する
guidance,[名]指導、手引き
guidebook,[名]案内書
guilt,[名]犯罪、罪
gulf,[名]湾
halfway,[副]途中の
handbook,[名]参考書
handful,[名]一握り
hanging,[名]つるすこと，絞首刑
harmful,[形]有害な
harsh,[形]厳しい、耳・目ざわりな
harvest,[名]収穫
haste,[名]急ぐこと、迅速
hatred,[名]憎悪、憎しみ
heal,[動]治す、治る
healing,[名]治癒
heater,[名]加熱器
heating,[名]暖房
heavily,[副]重く
helping,[名]一盛り、一人前
heroic,[形]一人前
hesitate,[動]躊躇する
hidden,[形]隠された
hiding,[名]隠れること、隠すこと
hillside,[名]丘の斜面
historical,[形]歴史上の、歴史的な
hockey,[名]ホッケー
holding,[名]つかむこと、握り方
hollow,[名]くぼみ、凹地、穴
homeless,[形]家のない，ホームレスの
honestly,[副]正直に
honesty,[名]正直
honeymoon,[名]新婚旅行
hood,[名]ボンネット、フード
hop,[動]ぴょんと跳ぶ
horseback,[名]馬の背
hostess,[名]主人役の女性
household,[名]世帯、家庭
humanity,[名]人間性
humble,[形]謙虚に、控えめな
hunting,[名]狩猟、狩り
hut,[名]小屋
identity,[名]独自性、アイデンティティ
idle,[動]怠けて過ごす
ignorance,[名]無知
ignorant,[形]無知な
illegal,[形]違法の
illustration,[名]実例
imitate,[動]まねる、見習う
immense,[形]巨大な
imperial,[形]皇帝の，皇室の
impose,[動]課する、強要する
impressive,[形]見事な
impulse,[名]衝動
incident,[名]出来事、小事件
increasingly,[副]ますます，段々と
independence,[名]独立
indicate,[動]示す
inevitable,[形]避けられない
infant,[名]幼児
inherit,[動]相続する
initial,[形]初期の、頭の
injure,[動]傷つける
injured,[形]怪我をした
inn,[名]宿屋、旅館
innocent,[形]無実の、無罪の
inspire,[動]激励する，発奮させる
instance,[名]具体的な例、実例
instinct,[名]本能、直観
institute,[動]設ける，制定する
instruct,[動]教える、指示する
insult,[名]侮辱
intellectual,[形]知的な，知力の
intense,[形]激しい、強烈な
intent,[名]意図
interfere,[動]干渉する
interior,[名]内部
internal,[形]内部の
interpreter,[名]通訳
interval,[名]間隔
invade,[動]侵略する、侵攻する
invention,[名]発明
invest,[動]投資する
investigate,[動]調査する
investigation,[名]調査、捜査
investment,[名]投資
invisible,[形]目に見えない
involve,[動]伴う、巻き込む
involved,[形]関わっている
jealousy,[名]嫉妬
jewelry,[名]宝石
journalism,[名]ジャーナリズム
joyful,[形] 喜ばしい
judgment,[名]判断、見解
jumper,[名]作業用上着
justify,[動]正当化する
keeper,[名]番人，看守
kidnap,[動]誘拐する
kindergarten,[名]幼稚園
kneel,[名]跪くこと
knight,[名]騎士
knot,[名]結び目
knowing,[形]もの知りの，聡明な
lace,[形]レースの
landscape,[名]風景
latter,[形]後者、後の
laughter,[名]笑い
launch,[動]進水する、発射する
laundry,[名]洗濯、洗濯物
layer,[名]層
leap,[動]飛躍する
learner,[名]学習者
legislation,[名]法律
liar,[名]嘘つき
liberal,[形]気前の良い、自由な
lifeless,[形]生物のいない
lifelong,[形]一生の，終生の
lifetime,[名]生涯
limb,[名]手足
limited,[形]限られた，有限の
linen,[名]亜麻布
lipstick,[名]口紅
liquid,[形]液体の、流体の
literary,[形]文学の
lively,[形]活発な、元気のよい
lobby,[名]ロビー
locate,[動]位置する
lodge,[動]宿泊する、泊まる
log,[名]丸太
logic,[名]論理
logical,[形]論理的な
luckily,[副]運よく
luxury,[名]贅沢
lying,[名]嘘をつくこと
machinery,[名]機械
madness,[名]狂気
magical,[形]魔法のような，不思議な
magician,[名]手品師
magnet,[名]磁石、磁鉄
maid,[名]お手伝い
maintenance,"[名]持続
making,[名]作ること
manual,[形]手の，手動の.
manufacture,[動]製造する
marble,[名]大理石
marine,[形]海の
marked,[形]際立った
marvelous,[形]すばらしい，見事な
mast,[名]帆柱，マスト 
