overdue,[形]期日を過ぎた
outcast,[名]追い出された人
outcry,[名]叫び、抗議
outright,[形]明白な
outset,[名]最初
outweigh,[動]まさる
overcrowd,[動]混雑させる
overgrown,[形]一面に茂った
overhaul,[名]精密検査
overhear,[動]小耳にはさむ
overload,[動]荷を積みすぎる
overpay,[動]支払いすぎる
overpopulation,[名]人口過剰
override,[名]無効にすること
overrun,[名]超過
overstate,[動]大げさに言う
pacifist,[名]平和主義者
padding,[名]水増し
pageant,[名]野外劇，見せびらかし
paradigm,[名]判例、典型
paralysis,[名]麻痺
parameter,[名]媒介変数)、限界
paramount,[形]最高の、主要な
parch,[動]煎る、乾ききらせる
parenthesis,[名]括弧
parody,[名]滑稽なものまね
particularity,[名]特殊性、私事
partisan,[名]熱心な支持者
pastel,[名]パステル
paternal,[形]父系の
pawn,[名]質、抵当物、人質
payoff,[名]報酬、賄路
peacekeeping,[名]平和維持
peacetime,[名]平和な時
penal,[形]刑罰の
pendant,[名]ペンダント
pendulum,[名]振り子
penis,[名]ペニス
pep,[名]元気
performing,[形]芸当のできる
peripheral,[名]周辺機器
perplexity,[名]当惑、困った事、難局
perspiration,[名]発汗
pertain,[動]関係する
pertinent,[形]適切な、直接関係する
pervasive,[形]広がる
pervert,[動]判断などを誤らせる
petticoat,[名]ペチコート
phoenix,[名]フェニックス
phony,[形]にせの
piss,[名]おしっこ
pitiless,[形]無慈悲な
plausible,[形]もっともらしい
plaything,[名]おもちゃ
pleasurable,[形]愉快な
plight,[名]ひどい状態、苦境
plunder,[動]略奪する
poise,[名]つり合い，落ち着き
poker,[名]ポーカー
politic,[形]賢明な
polytechnic,[名]工芸学校、工芸
porcelain,[名]磁器、磁器製品
possessed,[形]取りつかれた
potter,[名]陶工
powdery,[形]粉の
practicable,[形]実行できる、実用向きの
praiseworthy,[形]称賛に値する
prawn,[名]クルマエビ
preclude,[動]排除する、防止する
predator,[名]奪い取る人、捕食者
predictive,[形]予報の
predominantly,[形]圧倒的に，主として
premiere,[名]初演
preoccupied,[形]夢中になった
preoccupy,[動]夢中にさせる
presumable,[形]推定できる
presumption,[名]推定
primal,[形]主要な
procure,[動]獲得する
prod,[動]刺激する
projector,[名]発起人、投光器
proliferation,[名]拡散
promenade,[名]散歩
proponent,[名]支持者
proportionate,[形]つり合いのとれた
propriety,[名]礼儀正しさ、適正
protectionism,[名]保護貿易主義
proverbial,[形]諺の、諺にある
provisional,[形]暫定的な
provocative,[形]挑発的な、刺激的な
prowl,[名]うろつき
proximity,[名]近接
proxy,[名]代理
psychiatric,[形]精神医学の
pulpit,[名]説教壇，牧師
punk,[名]不良
purport,[名]意図
pygmy,[名]ピグミー 《アフリカの原住民》
quarrelsome,[形]けんか好きな、怒りっぽい
quarry,[名]採石場、源泉
questionable,[形]疑わしい
quid,[名]かみたばこ
racecourse,[名]競馬用走路
radiate,[動]放射する
ramble,[名]散歩
ratify,[動]批准する
ration,[名]割り当て、配給品
raven,[名]ワタリガラス
reactive,[形]反動的な、反作用的な
reassurance,[名]再保証、安心
rebate,[名]一部払い戻し、割戻し
rebirth,[名]再生、復活
rebound,[動]はね返る
receptive,[形]受容する、理解力がある
recharge,[動]再充電する
recitation,[名]朗読
reclaim,[動]取り戻す，回収する
recourse,[名]依頼、頼みとするもの
recurrent,[形]再発する
reelect,[動]再選する
referendum,[名]国民投票
refurbish,[動]改装する
refute,[動]反論する
regulator,[名]取り締まる人
regulatory,[形]規定の
rehabilitate,[動]回復させる
relational,[形]親類の、文法関係を示す
relativity,[名]相対性
relegate,[動]追放する、追いやる
relent,[動]心が解ける、弱まる
relentless,[形]しつこい，情け容赦のない
reliant,[形]頼って
remittance,[名]送金、送金額
repeal,[動]廃止する、撤回する
repertoire,[名]レパートリー，演奏曲目
repetitive,[形]繰返しの
repository,[名]収納場所、倉庫
resell,[動]再び売る
reset,[動]置き直す、はめ直す
resin,[名]樹脂、合成樹脂
resonance,[名]共鳴、共振
restart,[名]再起動
resumption,[名]再開、回収、回復
retard,[動]遅らせる
retarded,[形]知能の遅れた
rethink,[名]再考
retiring,[形]内気な、まもなく引退する
retrieval,[名]回復，挽回、検索
reunite,[動]再結合する、再会する
revere,[動]崇敬する，あがめる
reversible,[名]裏表着用できる衣服
revert,[動]逆戻りする
reviewer,[名]批評家
revolutionize,[動]革命を起こす
rhyme,[名]韻
rift,[名]不和
rotary,[名]円形交差点
royalist,[名]王制主義者
rubble,[名]砕石、瓦礫
ruby,[名]ルビー，真紅の
rung,[名]梯子（はしご）の横木
sabotage,[名]妨害行為、破壊行為
safari,[名]サファリ
saga,[名]武勇談，大河小説
sandstone,[名]砂岩
saturate,[動]ずぶぬれにする、飽和させる
savor,[名]風味、趣き
scapegoat,[名]身代わり、贖罪のやぎ
scorch,[動]焦がす
scrawl,[動]走り書きをする
screaming,[形]金切り声をあげる
scribble,[名]落書き
scrutinize,[動]綿密に調べる
scurry,[名]小走り
seamless,[形]縫い目のない
sear,[動]焼く，焦がす
secretarial,[形]秘書の
secretive,[形]秘密主義の
sedan,[名]セダン
selector,[名]選別機
semblance,[名]外形，外観
semester,[名]学期
semicircle,[名]半円
seniority,[名]年長
sensual,[形]官能的な
sesame,[名]ゴマ、ゴマの実
sever,[動]断絶させる、隔てる
shaggy,[形]毛むくじゃらの
sham,[名]見せかけ、偽物
sheepish,[形]羊のような
shimmer,[名]ゆらめく光
shipwreck,[名]難破、難破船
shortcoming,[名]欠点、不足
shorthand,[名]速記
showcase,[名]陳列ケース
showdown,[名]暴露、対決
shred,[名]断片、僅少
shroud,[名]死体を包む布、覆い
shuffle,[名]トランプを切ること
shuttle,[名]折返し運転
simmer,[名]とろ火、とろ火の状態
simplistic,[形]単純化しすぎた
simulate,[動]まねる
skeptic,[名]懐疑論者
skull,[名]頭蓋骨、頭
slate,[名]石板、スレート
slick,[形]つるつる滑る
sloppy,[形]ずさんな
sluggish,[形]停滞した、不振な
smear,[動]塗りつける，よごす
smock,[名]上っ張り
smother,[動]窒息死させる
snowflake,[名]雪片
snuff,[動]鼻で吸う
socialization,[名]社交的にすること
solemnity,[名]厳粛
solidarity,[名]団結、連帯
soot,[名]すす
sorely,[副]激しく、非常に
sparing,[形]控えがちな
spasm,[名]けいれん
spawn,[名]卵、菌糸
speculator,[名]投機家
sperm,[名]精子
spout,[動]吹き出す，噴出する
sprout,[名]芽、若枝
spurt,[名]噴出
stark,[形]全くの、正真正銘の
statutory,[形]法定の、法に触れる
sterling,[名]英国通貨
stingy,[形]けちくさい
stipulate,[動]規定する、明記する
stoke,[動]燃料をくべる
stopover,[名]途中下車、立ち寄り先
stoppage,[名]停止、障害
strenuous,[形]精力的な、奮闘的な
strut,[名]支柱
stub,[名]控え、半券
stud,[動]ちりばめる
stunning,[形]気絶させる，すばらしい
subculture,[名]サブカルチャー
subdivide,[動]細分する、細分される
subdivision,[名]分譲地
subsidize,[動]助成金を支給する
substantive,[形]独立の，自立の
suitor,[名]請願者
sulfur,"[名]硫黄 《非金属元素
sunburn,[名]日焼け、日焼け色
superfluous,[形]余分の、あり余る
supposition,[名]仮定
surmount,[動]打ち勝つ、乗り越える
surveillance,[名]監視、監督
surveyor,[名]測量者、測量技師
suspender,[名]サスペンダー
sustenance,[名]生命を維持するもの
swerve,[名]それること
symmetrical,[形]左右対称の
symmetry,[名]対称
synthesis,[名]総合
syrup,[名]シロップ
tab,[名]つけ札、ラベル
tactful,[形]機転のきく、適切な
tactic,[名]戦略、戦術
tactical,[形]戦術上の
tangle,[動]もつれる，からみ合う
tee,[名]ゴルフのティー
televise,[動]テレビ放送する
tenure,[名]在職期間
termination,[名]満了、終了
terminus,[名]終点
thee,[  ]汝を
theology,[名]神学、神論
theoretically,[副]理論上は、名目上は
therapeutic,[形]治療の
throb,[動]脈打つ、鼓動する
timidity,[名]臆病な様
tingle,[名]ひりひりする痛み
tinker,[名]鋳掛け屋
tint,[名]色、ほのかな色
toddler,[名]よちよち歩く人
toothless,[形]歯のない
topple,[動]倒す、ぐらつかせる
tract,[名]広大な土地、広がり
trance,[名]失神
tranquility,[名]静けさ
transact,[動]処理する
transcend,[動]超越する、超える
transcontinental,[形]大陸横断の
transient,[名]短期滞在客
transistor,[名]トランジスター
trauma,[名]精神的外傷
treachery,[名]裏切り、背信（行為）
treatise,[名]論文
trek,[名]行程，（長くて辛い）旅
trespass,[名]侵入、侵害訴訟
trimming,[名]飾り、添え物
turbulence,[名]乱気流
ulcer,[名]潰瘍、病幣
ultraviolet,[名]紫外線
unaccountable,[形]説明のできない
unambiguous,[形]あいまいでない
unauthorized,[形]権限のない
unbeaten,[形]負けない、無敵の
uncompromising,[形]妥協しない、断固とした
uncontrolled,[形]抑制されていない
undercover,[形]秘密の、内密の
undercut,[名]下部を切り取ること
underside,[名]下側
underway,[形]進行中の
underwrite,[動]署名する、支払いを保証する.
unforeseen,[形]予期しない
unionist,[名]労働組合主義者
unorthodox,[形]正統でない、異端の
unparalleled,[形]前代未聞の
unprofitable,[形]利益にならない、無駄な
unspoken,[形]無言の
unthinkable,[形]想像もできない
untouched,[形]手をつけてない
upheaval,[名]大変動、動乱
uprising,[名]反乱、上り坂
upside,[名]上面、上昇傾向
urine,[名]尿
usable,[形]使用できる、便利な
usher,[名]案内係
utilitarian,[名]実利主義者
variant,[名]異形
varnish,[名]ニス，ごまかし
vault,[名]地下室
veal,[名]子牛の肉
venerable,[形]尊敬すべき、立派な
ventilate,[動]換気する
venue,[名]開催地
versatile,[形]多才な、融通の利く
veto,[名]拒否権
vex,[動]いらだたせる
viable,[形]存続可能な
vicar,[名]教区牧師
vile,[形]下劣な
vintage,[名]ぶどう酒
visibility,[名]視界
visionary,[名]空想家
vista,[名]展望、回想、追憶
volatile,[形]揮発性の
volley,[名]一斉射撃
wade,[動]歩いて渡る
wager,[名]賭け、賭け金
warlike,[形]戦争が起こりそうな
wary,[形]用心深い、慎重な
wedge,[名]くさび
wee,[形]時刻が非常に早い
weighty,[形]重要な
weld,[名]溶接
wharf,[名]波止場
whim,[名]気まぐれ
wig,[名]かつら
wince,[名]ひるみ
wistful,[形]もの思いに沈んだ
woo,[動]言い寄る、くどく
wooded,[形]樹木の茂った
wreckage,[名]難破貨物、残骸
wrench,[名]ぐいとねじること、レンチ
wrestle,[動]取り組む、戦う
wrestler,[名]レスラー
wretch,[名]恥知らずな人
wry,[形]しかめた
yoga,[名]ヨガ
zoological,[形]動物学の
abbey,[名]修道院、大寺院
aberration,[名]常軌を逸すること
abet,[動]けしかける、教唆する
abiding,[形]変わることのない
ablaze,[形]明るく輝いて、
abrasive,[名]研磨剤
abstinence,[名]節制、禁欲
abyss,[名]溝、深淵
accomplice,[名]共犯者
accrue,[動]生じる
acquit,[動]無罪にする
acquittal,[名]無罪放免
acronym,[名]頭字語
acumen,[名]明敏さ
adamant,[名]非常に固いもの
adjoining,[形]隣接する
admonish,[動]訓戒する、勧告する
adrift,[形]漂って
adultery,[名]不貞
affable,[形]愛想のよい
affiliated,[形]系列の
aggrieved,[形]苦悩に満ちた
ailing,[形]病気の
airborne,[形]風媒の
alias,[名]別名
align,[動]揃える
alleviate,[動]緩和する、軽減する
alluring,[形]魅惑的な
allusion,[名]言及
altruism,[名]利他主義
alumnus,[名]同窓生
ambivalent,[形]反対感情両立的な
amply,[副]十分に
anemia,[名]貧血症
anesthesia,[名]麻酔
anesthetic,[名]麻酔剤
anew,[副]改めて、新たに、新規に
animosity,[名]敵意、憎悪
annex,[名]別館、離れ
annuity,[名]年金
annul,[動]無効にする
anomaly,[名]例外
ante,[名]ポーカーの掛け金
anthem,[名]賛歌
antidote,[名]解毒剤
antipathy,[名]憎悪、毛嫌い
antiquated,[形]古臭くなった、古風な
apocalypse,[名]啓示
apostle,[名]使徒、主唱者
appease,[動]なだめる、鎮める
apprehensive,[形]不安な
arbor,[名]高木
arcane,[形]難解な
archipelago,[名]群島、多島海
aria,[名]歌、旋律
arid,[形]乾燥した
ark,[名]ノアの箱舟
arson,[名]放火
arthritis,[名]関節炎
ascendancy,[名]優位
aspen,[名]ポプラ
assortment,[名]分類
asteroid,[名]小惑星
astute,[形]抜け目のない、ずるい
asylum,[名]保護施設
attrition,[名]自然減少
audacious,[形]大胆な、無謀な
audacity,[名]厚かましさ
aura,[名]雰囲気、霊気
austere,[形]厳格な
austerity,[名]厳粛
autocratic,[形]独裁的な
avenge,[動]かたきを討つ
avid,[形]熱心な、熱烈な
backdrop,[名]背景
backer,[名]裏書人、後援者
backlash,[名]反発、反動
baggy,[形]だぶだぶの
balk,[名]妨害、障害
bane,[名]災い
banter,[名]気さくな会話、ひやかし
barbed,[形]とげのある
bard,[名]吟遊詩人
baroque,[名]バロック様式
barrage,[名]連発、続出
bask,[動]日光浴をする
bastion,[名]稜堡、要塞、とりで
battalion,[名]大隊
beacon,[名]信号塔、灯台
bedrock,[名]基盤
beguile,[動]だます
belligerent,[名]交戦国、戦闘員
bemoan,[動]嘆く
benchmark,[名]基準、水準
benefactor,[名]後援者、恩人
bidder,[名]入札者
bigotry,[名]偏狭
biopsy,[名]生体検査
birch,[名]かばの木
blatant,[形]騒々しい、見え透いた
blight,[名]だめにするもの
blister,[名]水ぶくれ
bluff,[名]はったり
blurt,[名]出し抜けに言うこと
boardroom,[名]重役用会議室
bogus,[形]いんちきの
boisterous,[形]騒がしい、バカ騒ぎの
bombard,[名]射石砲
bombardment,[名]砲撃
boomer,[名]ベビーブーム世代
booty,[名]戦利品
booze,[名]アルコール飲料
botch,[名]へたな仕事
bounty,[名]報奨金
bower,[名]木陰
brandish,[動]振り回す
brash,[名]吹出物
bravado,[名]虚勢
brawl,[名]喧嘩
brazen,[動]決然と対決する
breathtaking,[形]息をのむような
brethren,[名]同胞
brittle,[名]もろい
buffer,[名]緩衝材
bullish,[形]雄牛のような
bun,[名]ロールパン
buoyant,[形]浮力のある
burgeon,[名]新芽
burly,[形]たくましい
burnish,[動]磨く
burrow,[名]隠れ場、避難所
buttress,[名]支え、控え壁（状のもの）
buyout,[名]買い占め
cache,[名]隠し場所
cadet,[名]士官候補生、見習い
calculus,[名]微積分学
caliber,[名]力量
canine,[名]犬、イヌ科の動物
canny,[形]抜け目のない、用心深い
capitalize,[動]資本に組み入れる
capitulate,[動]降伏する
carcass,[名]死体、人の死体
cardiac,[名]強心剤
cardiovascular,[名]心臓血管
cartel,[名]企業連合
caste,[名]社会的地位
catalyst,[名]触媒
catapult,[名]射出器
caucus,[名]党員集会
centennial,[名]１００年祭
centerpiece,[名]中央に置く飾り物
chaplain,[名]施設付き司祭
charred,[形]黒焦げの
chasm,[名]深い割れ目、隙間
chasten,[動]懲らしめる、鍛える
chide,[動]たしなめる、叱る
choreographer,[名]振付師
chromosome,[名]染色体
circumvent,[動]回避する
citation,[名]引用
civility,[名]礼儀正しさ
clamor,[名]騒々しい音
clamp,[名]かすがい
clandestine,[形]秘密の、内密の
cleric,[名]聖職者
clientele,[名]顧客
clinch,[名]激しい抱擁
clot,[名]固まり
clout,[名]影響力
clutter,[名]混乱、散乱した物
coalesce,[動]融合する、合体する
cobble,[名]丸石
coffer,[名]財源
cohort,[名]集団
collateral,[名]担保物件
colt,[名]子馬
comatose,[形]昏睡状態の
combo,[名]結合
comer,[名]将来有望な人
commandment,[名]戒律
commando,[名]奇襲部隊
communique,[名]公式発表
compilation,[名]編集したもの
complacency,[名]自己満足
complicity,[名]共犯
comptroller,[名]会計検査官
concerted,[形]協定の
concerto,[名]協奏曲
concoct,[動]企てる
condone,[動]大目に見る、許す
confederate,[名]同類、同盟国
confiscate,[動]没収・押収する
conflagration,[名]大火災
conglomerate,[名]複合企業
conjure,[動]魔法で出す
connoisseur,[名]鑑定家
conservationist,[名]自然保護論者
consummate,[動]完成する
containment,[名]抑制
contemplative,[名]黙想にふける人
contentious,[形]議論好きな、争いを好む
contingency,[名]偶発性、偶発事件
contingent,[形]偶発的な，偶然の
continuum,[名]連続体
contraception,[名]避妊
contraceptive,[名]避妊具
contrition,[名]後悔
conundrum,[名]難問
convent,[名]修道会、修道院
convergence,[名]集中性、収束度
cooper,[名]樽類製造者、桶屋、酒屋
cornerstone,[名]基礎、不可欠のもの
coronary,[名]冠動脈
corporal,[名]伍長
corpus,[名]全集
corroborate,[動]確証する、正式に確認する
corrosive,[形]腐食性の
cortex,[名]皮質、皮層
counterfeit,[形]偽造の，にせの
courthouse,[名]裁判所
courtship,[名]求婚
covert,[形]ひそかな，隠れた
coy,[形]遠慮がちな、内気な
crackdown,[名]厳重な取締まり
crackle,[名]パチパチ鳴る音、活気
crap,[名]くだらんこと
crate,[名]木箱
crony,[名]旧友
crumple,[動]しわくちゃにする
cub,[名]野獣の子
cuff,[名]そで口
culinary,[形]台所の、料理の
cull,[動]摘む，摘み集める
culmination,[名]最高点、頂点
cumbersome,[形]煩わしい
curator,[名]館長、管理者
curt,[形]ぶっきらぼうな
curtail,[動]削減する、短縮する
cutback,[名]削減
cynic,[名]皮肉屋
cynicism,[名]冷笑、皮肉なことば
czar,[名]皇帝
daunting,[形]手ごわい、困難な
dearth,[名]欠乏、不足
debacle,[名]総崩れ、大敗
debase,[動] 品質を低下させる
debilitate,[動]衰弱させる
decipher,[動]解読する
decor,[名]装飾、舞台装置
defamation,[名]中傷
defection,[名]離反、脱会、背信
deference,[名]服従、敬意
deflate,[動]しぼむ
deft,[形]器用な
defunct,[名]故人
degenerate,[名]悪化する、堕落する
deity,[名]神
deluge,[名]大洪水
delve,[動]深く探求する
demeanor,[名]ふるまい
dementia,[名]痴呆
demographic,[形]人口統計学の
demolition,[名]破壊
demur,[名]異議
denomination,[名]額面金額、単位名
dent,[名]へこみ
deplete,[動]使い果たす
deport,[動]国外に退去させる
deportation,[名]国外追放
depose,[動]退位させる、免職する
deride,[動]馬鹿にする
derision,[名]あざけり、物笑いの種
destitute,[形]困窮した
deterioration,[名]悪化
devaluation,[名]平価切り下げ
devious,[形]ずるい、よこしまな
devolve,[動]ゆだねる，負わせる 
diabetic,[形]糖尿病の
diaper,[名]おむつ
dictum,[名]格言
dire,[形]悲惨な、緊急の
disband,[動]解散する
discretionary,[形]自由裁量の
disgruntled,[形]不満な、不機嫌な
disintegration,[名]崩壊
disparage,[動]けなす、見くびる
disparate,[形]本質的に異なる、異種の
disparity,[名]相違、不つり合い
disproportionate,[形]不釣り合いな，不相応な
distraught,[形]取り乱した、錯乱状態の
divulge,[動]漏らす、公表する
doctorate,[名]博士号
doe,[名](ウサギ・羊などの)雌
dogged,[形]執拗な
dolly,[名]お人形
dope,[名]麻薬
dour,[形]気難しい
downplay,[動]重要視しない
downright,[形]まっすぐな，率直な
drab,[名]くすんだ黄褐色
drape,[動]衣類で飾る
drawl,[動]ものうげに言う
dredge,[動]掘り起こす
drench,[動]ずぶぬれにする
drone,[動]ブンブンうなる
duct,[名]ダクト、輸送管
duel,[名]決闘
eclectic,[形]折衷的な、取捨選択の
edifice,[名]建物、大建築物
efficacy,[名]効力、効き目
elf,[名]小妖精
eligibility,[名]有資格
emanate,[動]発出する
embodiment,[名]具体化、肉体化
embroil,[動]巻き込む
empathy,[名]共感、感情移入
enactment,[名]立法
enclave,[名]飛び領土、飛び地
endear,[動]いとしく思わせる
endemic,[形]一地方特有の
enigma,[名]謎、不可解なもの
ensemble,[名]合奏団
entourage,[名]側近、同僚
entreat,[動]懇願する
entrench,[動]ざんごうで囲む
epicenter,[名]地震の震央
epitaph,[名]墓碑銘
eschew,[動]避ける、控える
espionage,[名]スパイ行為、偵察
espouse,[動]採用する、支持する
etch,[動]刻む
ethereal,[形]極めて優美な
ethos,[名]気風，エトス
euphemism,[名]婉曲的表現
euphoria,[名]幸福（感）、高揚感
euthanasia,[名]安楽死
evangelical,[形]福音派の
evangelist,[名]福音伝道者
evasion,[名]回避、言い抜け、脱出
evasive,[形]回避的な
evocative,[形]呼び起こす
exacerbate,[動]悪化させる、つのらせる
exacting,[形]苛酷な、骨の折れる
excise,[名]消費税
exemplary,[形]模範的な、称賛すべき
exhale,[動]吐き出す
exhilarate,[動]うきうきさせる
exhort,[動]促す、奨励する
expatriate,[名]海外駐在者、国外在住者
extol,[動]称賛する、褒め称える
extradition,[名]逃亡犯罪人引き渡し
extremist,[名]過激主義者
exuberant,[形]元気あふれる
exult,[動]歓喜する
falcon,[名]鷹
farce,[名]茶番
fathom,[名]尋（約１．８メートル）
fawn,[名](1 歳未満の)子鹿
ferment,[動]発酵させる
ferocity,[名]残虐行為
fervent,[形]熱い、熱烈な
fetus,[名]胎児
feud,[名]不和
fiasco,[名]大失敗
fiat,[名]命令
fickle,[形]変わりやすい、気まぐれな
fiddle,"[動]いじくる
fin,[名]魚のひれ
financier,[名]資本家、金融業者
finesse,"[名]技巧，腕のさえ
firearm,[名]火器
flagrant,[形]極悪の、目にあまる
flagship,[名]旗艦、最高のもの
flamboyant,[名]燃えるような，けばけばしい
flaunt,[動]見せびらかす
fledgling,[名]青二才
fleeting,[形]はかない
flex,[名]柔軟性
flimsy,[形]薄っぺらな
flirtation,[名]いちゃつくこと
flounder,[動]もがきながら進む
fluke,[名]まぐれ当たり
fluorescent,[形]蛍光性の
flurry,[名]動揺、混乱
flux,[名]流動、絶え間ない変化
fodder,[名]飼料
fondle,[動]かわいがる
footage,[名]フィート数、場面
footing,[名]足の運び、足元、足場
foray,[名]侵略
forcing,[名]力、勢い
foreman,[名]職長
forensic,[形]法廷の
forestall,[動]機先を制する
forgo,[動]～なしですませる
forlorn,[形]絶望した、絶望的な
forthright,[形]言いたいことを言う、率直な
fragmentation,[名]分裂，破砕
fraternal,[形]兄弟の、友愛の
fraudulent,[形]不正の
frigid,[形]極寒の，冷淡な
frolic,[名]浮かれ騒ぎ
funk,[名]悪臭
funnel,[名]漏斗(じようご)
furor,[名]熱狂的興奮
furrow,[名]細長いくぼみ、わだち
gala,[名]祝祭、競技会
gall,[動]悩ます、感情を傷付ける
galvanize,[動]刺激する、亜鉛めっきする
garland,[名]花輪、栄冠
garner,[名]穀倉、たくわえ
garrison,[名]駐屯地
gauntlet,[名]長手袋
genealogy,[名]家系
genesis,[名]起源
genetics,[名]遺伝学
genital,[名]生殖器
genteel,[形]上品ぶった
ghastly,[形]ぞっとするような
ghetto,[名]スラム街
giddy,[形]めまいがする，
gild,[動]金めっきする
glean,[動]収集する
glee,[名]歓喜
glib,[形]口達者な
glimmer,[名]ちらちらする光
gloat,[動]ほくそえむ
glowing,[形]熱のこもった
glum,[形]ふさぎ込んだ、不機嫌な
glut,[名]供給過剰、過多
gnaw,[動]かじる
goad,[名]駆り立てるもの
goldsmith,[名]金細工師
goody,[名]菓子、特別いいもの
gouge,[名]丸のみ
graffiti,[名]落書き
graft,[名]不正利得
grandiose,[形]大げさな
grapple,[名]つかむこと
gregarious,[形]社交的な
grid,[名]格子
grit,[名]根性、勇気
grope,[名]痴漢
grouse,[名]ぶつぶつ言うこと
grudge,[名]恨み
grudging,[形]いやいやの
grueling,[形]厳しい
gruesome,[形]恐ろしい
grunt,[名]ブーブー鳴く声
guise,[名]身なり、仮装、見せかけ
hallmark,"[名]優良の証明
hallucination,[名]幻覚、妄想、錯覚
halo,[名]後光
handcuff,[名]手錠
hapless,[形]不運な、あわれな
harrowing,[形]痛ましい
harry,[動]執拗(しつよう)に攻撃する
hassle,[名]混乱、苦闘
headlong,[形]向こう見ずな，軽率な
heady,[形]うきうきした
hearten,[動]励ます
heather,[名]ヘザー、ヒース
hefty,[形]屈強な
hegemony,[名]主導権、覇権
hepatitis,[名]肝炎
heresy,[名]異端、異説
heterosexual,[名]異性愛の人
heyday,[名]全盛期
hiatus,[名]割れ目，中断
hilarious,[形]愉快な
hindsight,[名]後知恵、後になっての判断
hoax,[名]人をかつぐこと
homage,[名]敬意
homicide,[名]殺人
hone,[名]砥石
horde,[名]大群
horrendous,[形]恐ろしい
hub,[名]中心
hulk,[名]ずうたいの大きな人
hull,[名]船体
humiliating,[形]屈辱的な
hump,[名]こぶ
hunch,[名]予感
hurtle,[動]びゅんびゅん音を立てていく 
hustle,[名]騒ぎ
hyperbole,[名]誇張
hypertension,[名]高血圧
idiosyncratic,[形]特異質の
idyllic,[形]牧歌的な
ignite,[動]点火する、高度に熱する
illicit,[名]不法な
impart,[動]伝授する、知らせる
impasse,[名]袋小路、行き詰まり、難局
impeccable,[形]欠点のない、完全な
impede,[動]邪魔する、妨げる
implacable,[形]容赦のない、執念深い
implant,[動]移植する
imposition,[名]課税
impoverished,[形]貧困に陥った
impromptu,[名]即興曲
impunity,[名]刑罰を免れること
incarnation,[名]権化、化身、具体化
incendiary,[名]放火魔、扇動者
incest,[名]近親相姦
incite,[動]扇動する
incompetence,[名]無能力
incriminate,[動]罪を負わせる
indelible,[形]消えない
inept,[形]不適当な
inexorable,[形]容赦のない、無情な
inferno,[名]地獄
infest,[動]はびこる
inflame,[動]燃え上がらせる. 
informant,[名]情報提供者
infrared,[名]赤外線
infringement,[名]侵害
infusion,[名]流入
inhale,[動]吸い込む
injunction,[名]命令、禁止命令
innocuous,[形]無害の、退屈な
inoculation,[名]予防接種
insatiable,[形]飽くことのない
insidious,[形]狡猾な、陰険な
insinuate,[動]ほのめかす
insolvent,[名]破産者
instill,[名]教え込む
insurgent,[名]反乱分子
insurrection,[名]反乱
inter,[前]相互に
intestinal,[形]腸の
intractable,[形]手に負えない、強情な
intravenous,[形]静脈内の
intrepid,[形]大胆不敵な
introspective,[形]内観的な
inundate,[動]氾濫する
irate,[形]怒った
jab,[動]ぐいと突く
jagged,[形]ギザギザした
jay,[名]カケス類 【鳥】 
jeopardy,[名]危険
jettison,[名]放棄
jubilant,[形]喜ぶ
jumble,[名]ごたまぜ
junta,[名]軍事政権
knack,[名]技巧、こつ、わざ
labyrinth,[名]迷路
lama,[名]ラマ僧
languish,[動]弱る、しおれる
laud,[動]ほめたたえる
launder,[動]洗濯する
laureate,[名]受賞者
leach,[名]ろ過
legion,[名]多数、多勢
leisurely,[形]のんびりした
leukemia,[名]白血病
lewd,[形]みだらな、下劣な
lexicon,[名]辞書、語彙
libel,[名]名誉毀損
liken,[動]たとえる
lineage,[名]血統
lingerie,[名]下着
litigation,[名]訴訟
loathe,[動]ひどく嫌う
lob,[動]弧を描くよう投げる
logging,[名]材木切り出し
loophole,[名]抜穴
lore,[名]民間伝承
ludicrous,[形]ばかげた
lurch,[名]突然の揺れ
lurid,[形]ぞっとする
lush,[名]酒
luster,[名]光沢
magnolia,[名]薄いピンク色
makeshift,[名]間に合わせの物
malaise,[名]不定愁訴、不安、不調
malign,[動]悪口を言う
mannerism,[名]型にはまった手法
marquee,[名]入口のひさし、大テント
marrow,[名]骨髄
mason,[名]石工、れんが職人
masterly,[形]熟達した
maverick,[名]一匹狼、異端者
meander,[名]曲がりくねり
measles,[名]はしか
meltdown,[名]溶けること
menopause,[名]更年期
metabolism,[名]新陳代謝
metaphysical,[名]形而上派詩人
meteor,[名]いん石
microbe,[名]微生物
middleman,[名]仲買人
milieu,[名]環境
mirage,[名]蜃気楼
miscarriage,[名]流産
misdemeanor,[名]軽犯罪
misgiving,[名]疑念
mitigate,[動]軽減させる、和らげる
mole,[名]ほくろ
morbid,[形]病的な
moribund,[形]瀕死の、消滅しかかった
mortify,[動]悔しがらせる
motley,[名]まだら
mounting,[名]据え付け
mule,[名]ラバ
mull,[動]じっくり考える
mural,[名]壁画
murky,[形]暗い
mutant,[名]突然変異体
nag,[動]がみがみ小言を言う
narrate,[動]述べる
nasal,[名]鼻音
nausea,[名]吐き気
nestle,[動]寄り添う
neural,[形]神経の
neuron,[名]神経単位
nibble,[動]少しずつかじる
nimble,[形]軽快な
nipple,[名]乳首
nitrogen,[名]窒素
nominal,[形]名ばかりの
nudge,[名]軽い突き
null,[名]ゼロ
nuptial,[名]結婚式
